,F0,spectralCentroid,MFCC,energy,chroma,spectralFlux,spectralSpread,spectralEntropy,ZCR,loudness,energyEntropy,chromaDeviation,spectralRolloff
03a04Ad0,1084.0,[ 0.32858508  0.2151867   0.20411142  0.1978686 ],"[[ -2.65177935e+01  -2.21727671e+01  -2.17836799e+01  -2.23537293e+01]
 [ -1.54227814e-01   1.72317757e+00   1.64963735e+00   1.91002796e+00]
 [ -2.86748355e-01  -9.48511741e-01  -6.80248394e-01  -1.21497809e-01]
 [  3.57198185e-01   4.03936440e-02   1.47058141e-01  -2.55693508e-01]
 [  4.12037035e-01  -4.38307837e-01  -1.15247031e+00  -1.07590217e+00]
 [  6.73286806e-02   6.64591237e-02   1.41391254e-01   3.36865664e-01]
 [  6.96126670e-02   2.48027852e-01   1.50687457e-01  -1.84117418e-02]
 [ -3.97419931e-01  -7.54205337e-01  -4.01763531e-01  -4.26894192e-01]
 [ -5.14296154e-01  -4.29753091e-01   7.70775864e-02   1.49959033e-01]
 [ -2.77296830e-02  -4.34875017e-01  -5.73899866e-01  -5.37776480e-01]
 [ -1.86218256e-01  -1.13443486e+00  -1.15098026e+00  -8.19116306e-01]
 [  1.64039855e-01  -2.77288524e-01  -8.41198404e-01  -5.79659400e-01]]",[ 0.00098106  0.04656469  0.09287131  0.04824149],"[[ 0.0007445   0.0015104   0.01012089  0.03397755]
 [ 0.00667421  0.04967846  0.03515518  0.0745174 ]
 [ 0.00407275  0.09149767  0.12843439  0.06191292]
 [ 0.00493004  0.03922563  0.00599294  0.01002458]
 [ 0.01192203  0.00350603  0.00295863  0.00326484]
 [ 0.00763583  0.00312497  0.00048831  0.00220945]
 [ 0.00253622  0.00109256  0.0003717   0.000793  ]
 [ 0.00101476  0.00564564  0.00124374  0.00558719]
 [ 0.003562    0.0107467   0.00392663  0.00132881]
 [ 0.00627503  0.00176382  0.00183286  0.00498298]]",[ 0.          0.01081361  0.0041958   0.00417445],[ 0.23921802  0.22615774  0.21402128  0.2126339 ],[ 2.49598155  1.00197207  0.86911797  0.75244945],[ 0.21777222  0.16770964  0.08010013  0.08385482],4539.08812428,[ 2.6945298   2.34975456  3.22904399  2.35436061],[ 0.00299291  0.02714303  0.03481072  0.0240493 ],[ 0.435   0.1825  0.1825  0.1875]
03a04Ad1,1237.0,[ 0.24407355  0.22048767],"[[-24.42464429 -22.44188022]
 [  2.32490297   1.07613355]
 [  0.11374902  -1.07297535]
 [ -0.44825869  -0.57160139]
 [  0.09624069  -0.51768861]
 [ -0.15808948   0.37860234]
 [ -0.17032241  -0.11692812]
 [ -0.53015413  -1.12749576]
 [ -0.87055529  -0.76625297]
 [ -0.52392205  -0.79715082]
 [  0.08650903  -0.52852835]
 [  0.32447816   0.72710383]]",[ 0.00951346  0.06212503],"[[ 0.00061868  0.00023767]
 [ 0.01336421  0.00216811]
 [ 0.03293556  0.00519296]
 [ 0.05943464  0.10223867]
 [ 0.07600859  0.03354902]
 [ 0.04165192  0.00680675]
 [ 0.00167283  0.00052069]
 [ 0.01732586  0.0018726 ]
 [ 0.00368982  0.00307376]
 [ 0.00430223  0.01052832]]",[ 0.          0.00876319],[ 0.26168344  0.21989599],[ 0.6518177   0.80579081],[ 0.19274093  0.17021277],7468.90888952,[ 1.45582132  2.68974142],[ 0.02459096  0.02803593],[ 0.08   0.135]
03a04Ad10,637.0,[ 0.20408223  0.17427594  0.1364484   0.12989732  0.15748366],"[[ -2.20411537e+01  -2.20017296e+01  -2.21036692e+01  -2.30542384e+01
   -2.49968196e+01]
 [  2.15921265e+00   2.19517161e+00   2.84484319e+00   3.32949980e+00
    3.09712860e+00]
 [  2.23912449e-01   3.98858917e-01  -7.37801779e-02   7.32849212e-01
    1.35064579e+00]
 [  1.62510478e-01   5.30250657e-01   5.63218901e-01   9.69121530e-01
    1.21005849e+00]
 [ -3.84785561e-01  -2.18525481e-01   2.85052446e-02  -9.25306942e-02
    6.06961399e-02]
 [  2.91399112e-01  -7.41544739e-01  -7.60142613e-01  -9.78853778e-01
   -9.27007112e-01]
 [ -4.73070082e-01  -7.36993504e-01  -2.34259274e-01  -1.05322760e-01
   -3.26178890e-02]
 [ -2.03060575e-01   1.82897147e-02   3.00851475e-01   1.47780594e-01
   -8.80187738e-02]
 [ -4.51176108e-02  -1.74965641e-01  -3.07455947e-01  -4.03965664e-01
   -4.72004238e-01]
 [ -4.77477417e-01  -1.09336413e-01  -1.48650830e-01   9.57265568e-02
    2.87891370e-01]
 [ -4.93493687e-02  -3.20579617e-01  -4.90897507e-01   3.05014078e-02
    1.19841286e-01]
 [ -1.66959837e-01  -7.67410269e-01  -7.91959550e-01  -3.75742062e-01
   -1.85048991e-01]]",[ 0.04535475  0.15104854  0.22667     0.14773179  0.04259553],"[[  5.81143448e-03   1.54097383e-02   1.08343901e-02   1.02071828e-03
    1.59598024e-04]
 [  8.07407432e-02   2.07743517e-01   2.30706063e-01   5.07078229e-02
    1.74342714e-02]
 [  1.12258991e-02   6.20177056e-02   2.73138756e-02   1.18616745e-02
    5.46392829e-03]
 [  8.29326193e-03   4.64556118e-03   2.71521633e-03   5.04293104e-03
    5.19792412e-03]
 [  8.14640627e-03   1.59167596e-03   3.60161291e-04   2.24279735e-03
    2.51014247e-03]
 [  5.16096671e-03   4.23059712e-03   1.48981068e-03   4.73152141e-03
    5.97708491e-03]
 [  4.67291599e-03   1.28290701e-04   2.50662343e-04   9.76245170e-05
    7.39038440e-05]
 [  7.12960983e-03   1.87383710e-03   7.63178440e-04   4.50618243e-04
    3.87367668e-04]
 [  3.02965753e-03   2.63247095e-03   1.57048316e-03   1.59752551e-02
    6.80535889e-02]
 [  1.89174665e-02   3.79485173e-03   4.84348665e-03   3.11195899e-02
    1.01133859e-01]]",[ 0.          0.02184182  0.00654408  0.02544069  0.0157166 ],[ 0.23043689  0.21513576  0.19348528  0.20386471  0.22923649],[ 0.63718546  0.33265348  0.21292162  0.13691818  0.13876947],[ 0.06508135  0.05131414  0.02628285  0.03128911  0.10387985],1369.58387841,[ 3.01053406  2.97563552  3.30336516  3.088239    2.25745418],[ 0.03738016  0.05735081  0.06248031  0.0458566   0.03185292],[ 0.095   0.055   0.0525  0.0475  0.0425]
03a04Ad2,1255.0,[ 0.22290978  0.2537763   0.2682249   0.28102193],"[[ -2.46052507e+01  -2.28868234e+01  -2.17753249e+01  -2.11929998e+01]
 [  1.37031307e+00   5.62466315e-01   3.37581835e-01   6.21128015e-01]
 [ -2.23728481e+00  -1.15153380e+00  -8.68742776e-01  -1.22218272e+00]
 [  1.03359136e+00   8.05390613e-01   7.35645114e-01   4.37829314e-02]
 [  1.56860959e-02   4.03868571e-02  -9.83360705e-02  -4.61142138e-01]
 [ -3.35274989e-01  -3.54743207e-01  -2.46258313e-01  -3.51523852e-01]
 [ -3.05007505e-02   2.47233952e-01   3.26949185e-02  -2.72198746e-01]
 [ -1.45165990e-01  -4.88837324e-01  -6.39892956e-01  -5.96136575e-01]
 [  1.03244318e-01  -4.44477527e-01  -8.77949512e-01  -6.90519867e-01]
 [  2.47573217e-01  -3.28773756e-01  -4.39368276e-01  -3.68347689e-01]
 [ -7.14943045e-01  -6.56475341e-01  -7.17361323e-01  -5.24373411e-01]
 [  1.20198224e-01  -5.67118529e-02   3.50158351e-01   9.95125478e-01]]",[ 0.00837829  0.01779229  0.04880828  0.09149835],"[[ 0.02907612  0.00281561  0.0009477   0.00098074]
 [ 0.00447038  0.01882932  0.00475435  0.00166249]
 [ 0.00271957  0.03690442  0.01497492  0.0041309 ]
 [ 0.00481843  0.01800256  0.07559953  0.01056161]
 [ 0.00976234  0.00339671  0.01732351  0.11519375]
 [ 0.003564    0.01121455  0.0148706   0.01860451]
 [ 0.00924608  0.00694912  0.0058226   0.00169209]
 [ 0.00273286  0.00518829  0.00370236  0.00563032]
 [ 0.0064866   0.01467571  0.00761974  0.00066569]
 [ 0.00809545  0.00492673  0.01169969  0.00444551]]",[ 0.          0.00600655  0.00291682  0.00523408],[ 0.20424974  0.2116463   0.22122675  0.24198443],[ 0.98562069  1.60254715  1.85194668  1.72349947],[ 0.13266583  0.1689612   0.18272841  0.16520651],4685.34225004,[ 2.52781746  2.78145295  3.13165503  3.22279749],[ 0.00767186  0.00970548  0.01954362  0.03067827],[ 0.1775  0.2125  0.25    0.275 ]
03a04Ad3,626.0,[ 0.12352577  0.17288737  0.13229594  0.16829795],"[[ -2.32953608e+01  -2.15336029e+01  -2.33874648e+01  -2.18600765e+01]
 [  3.30473527e+00   2.53571032e+00   2.06741274e+00   2.79238023e+00]
 [ -1.29214542e-01   2.03138474e-02  -2.42062751e-01  -3.01006333e-02]
 [  2.02468541e-01   4.89561845e-01   4.93768676e-01   4.05617471e-01]
 [ -6.71563709e-01  -2.14157256e-01  -5.05175175e-01  -1.30765290e-01]
 [ -9.69109371e-01  -7.28942072e-01  -1.18385076e+00  -6.04206192e-01]
 [  4.84642436e-02  -5.80492545e-01  -8.15471175e-01  -5.09435729e-01]
 [  1.37650964e-01  -3.38086591e-01   1.84323598e-01  -1.37442365e-01]
 [ -1.01801171e+00  -9.26162111e-01  -1.63053257e+00  -7.42676351e-01]
 [ -6.77760720e-01  -4.76368361e-01  -1.10988802e+00  -7.92514819e-01]
 [ -1.45598861e-01   1.05929366e-01  -6.56479624e-01  -3.64116772e-01]
 [ -3.64968045e-02   1.54367337e-01   6.86113310e-02   1.85381996e-01]]",[ 0.1139567   0.24953748  0.31762579  0.18828589],"[[  2.16936621e-03   1.63438538e-04   4.87125789e-05   5.33325621e-04]
 [  5.08166227e-03   5.58839012e-03   1.95379679e-03   1.08243109e-02]
 [  5.55443059e-03   1.84394322e-02   1.72742546e-02   1.64195247e-01]
 [  2.28976366e-01   1.17205391e-01   2.69891299e-01   1.02523334e-01]
 [  4.78438924e-02   1.53089034e-01   2.60876608e-02   1.85269560e-02]
 [  7.92173221e-03   3.50289034e-03   1.34181403e-03   6.09210866e-03]
 [  1.10845492e-04   2.24813105e-04   8.01436313e-05   2.30098125e-04]
 [  3.64904050e-03   1.82386590e-03   2.49259133e-04   1.71598936e-03]
 [  2.26315725e-03   2.38188862e-03   1.25650340e-04   1.75062958e-03]
 [  1.31948605e-03   2.27403366e-03   1.16178103e-04   3.46000874e-03]]",[ 0.          0.01046381  0.03008358  0.03683205],[ 0.17353605  0.22547463  0.17088005  0.22627182],[ 0.19912015  0.36109539  0.27908345  0.27579022],[ 0.04005006  0.03629537  0.03254068  0.02878598],3263.30461342,[ 3.06879809  3.19435374  3.31050389  2.93246798],[ 0.06256857  0.04972442  0.0738393   0.04979591],[ 0.045   0.0425  0.035   0.0375]
03a04Ad4,1425.0,[ 0.44031323  0.29951227  0.19481722],"[[ -2.65348244e+01  -2.27861997e+01  -2.24626279e+01]
 [ -1.43599835e+00   1.34388827e+00   1.60028685e+00]
 [  8.80578201e-01   9.90520359e-01  -7.65798527e-02]
 [ -5.56232763e-01  -1.17843697e+00  -8.34288927e-01]
 [ -6.07034010e-01  -1.03091726e+00  -1.16236856e+00]
 [ -2.17523434e-01   3.00689690e-01   5.87543539e-01]
 [ -1.29604205e-01  -1.41523637e-01  -3.73874136e-01]
 [  6.79248521e-02  -3.27197565e-01  -4.16956938e-01]
 [ -5.16324176e-02  -5.06429460e-01   4.00551151e-02]
 [  3.34728894e-01  -5.85925371e-01  -9.12682791e-01]
 [ -1.10006585e-01  -6.69115722e-01  -1.01896404e+00]
 [ -4.71691625e-03  -3.59715030e-01  -3.13150675e-01]]",[ 0.00593838  0.03438308  0.09631955],"[[ 0.00032685  0.0028826   0.00084581]
 [ 0.00085889  0.04473538  0.01533807]
 [ 0.00054731  0.07537852  0.16994864]
 [ 0.00354891  0.04988405  0.04116931]
 [ 0.00204578  0.01425711  0.0040008 ]
 [ 0.00220358  0.00206368  0.00049188]
 [ 0.00229172  0.0008131   0.00020532]
 [ 0.00965102  0.00286219  0.00032769]
 [ 0.0015724   0.0025024   0.00512877]
 [ 0.00145123  0.00176624  0.00208613]]",[ 0.          0.00719643  0.0101036 ],[ 0.2144012   0.24780694  0.20251507],[ 2.4696495   1.31630084  0.46805735],[ 0.26533166  0.24155194  0.10012516],6737.51883114,[ 2.0895158   2.49823258  3.02551414],[ 0.00235098  0.02412259  0.04653269],[ 0.5775  0.355   0.0675]
03a04Ad5,1133.0,[ 0.17852315  0.20963342],"[[ -2.25174468e+01  -2.48222487e+01]
 [  2.38617947e+00   2.71513949e+00]
 [ -7.48017416e-02   2.47232956e-01]
 [  1.05501609e-01   1.73055350e-01]
 [ -2.40352446e-01  -1.04079623e-01]
 [  3.22914223e-01  -3.28595956e-01]
 [ -2.27845183e-01  -6.26784346e-01]
 [  2.69141492e-01  -1.00442306e-02]
 [ -7.89425822e-01  -2.53101251e-01]
 [ -1.03120328e+00  -8.33560845e-01]
 [ -4.11206287e-01  -7.21785039e-01]
 [  3.19647956e-01  -1.44379296e-01]]",[ 0.05895949  0.01607214],"[[  8.57996281e-04   4.64715600e-03]
 [  1.77989176e-02   9.55279460e-02]
 [  2.16616730e-01   9.17765811e-02]
 [  2.52893559e-02   6.17641353e-02]
 [  3.05549371e-03   1.57122207e-02]
 [  7.46043621e-03   1.63454343e-03]
 [  5.44621592e-04   1.90178447e-04]
 [  2.52792433e-03   2.66756804e-03]
 [  3.14296587e-03   2.51945251e-03]
 [  4.35157147e-03   4.05576828e-03]]",[ 0.          0.01003356],[ 0.21133522  0.26074466],[ 0.51724488  0.34878141],[ 0.04130163  0.06633292],2621.84553321,[ 2.95583775  2.1400761 ],[ 0.05851432  0.03470779],[ 0.07    0.0475]
03a04Ad6,3429.0,[ 0.37572012  0.49925843  0.60308233],"[[ -2.33341272e+01  -2.31110287e+01  -2.51745235e+01]
 [  1.12900924e+00   1.72425958e+00   8.20384754e-01]
 [  1.93557987e+00   2.07806384e+00   1.96930649e+00]
 [ -6.29668233e-01  -6.72430221e-01  -1.77986437e-01]
 [ -2.98035386e-01  -4.73497045e-02   6.44147431e-01]
 [  6.56042180e-02  -2.49741678e-01   8.28326186e-02]
 [ -1.51403435e-01   1.68652641e-02   1.64416927e-01]
 [  4.20143969e-01   2.01417286e-01   6.68290235e-02]
 [ -4.32909867e-01  -3.79142185e-01  -2.45772958e-01]
 [ -4.52684689e-01  -2.41222690e-01   3.11856955e-02]
 [ -8.10388491e-01  -4.77775230e-01  -2.60733755e-01]
 [ -1.14814038e+00  -4.59190075e-01  -1.25165033e-01]]",[ 0.07899792  0.08244815  0.06054539],"[[ 0.00426701  0.00188363  0.00027393]
 [ 0.1043892   0.0276916   0.00170506]
 [ 0.07467444  0.01029873  0.00078511]
 [ 0.00781024  0.00515137  0.00103266]
 [ 0.00053148  0.00228259  0.00129998]
 [ 0.00089836  0.00299737  0.00503927]
 [ 0.00049623  0.0009242   0.00234426]
 [ 0.0007448   0.00246271  0.00239012]
 [ 0.00094031  0.00740325  0.0080081 ]
 [ 0.00400898  0.01432829  0.00449984]]",[ 0.          0.00486866  0.00232886],[ 0.27124375  0.28383963  0.2379397 ],[ 1.485059    2.52729919  2.56557285],[ 0.17772215  0.39173967  0.63078849],1795.11086009,[ 3.19569258  3.25290191  3.1209431 ],[ 0.03297665  0.01454608  0.00220726],[ 0.4625  0.765   0.86  ]
03a04Ad8,509.0,[ 0.25108542  0.16320314],"[[-23.46886566 -21.87028586]
 [  1.95926767   2.45778964]
 [  2.04769827   0.86265961]
 [ -0.56304889  -0.43589572]
 [ -0.31728576   0.07001774]
 [ -0.74470355  -0.29966442]
 [ -0.24693295  -0.43201256]
 [  0.09148925  -0.02465719]
 [ -0.36815625  -0.28557806]
 [ -0.14304079  -0.06080222]
 [ -0.78827042  -0.95223306]
 [ -0.54221966  -0.53527032]]",[ 0.05879146  0.14414091],"[[ 0.00480809  0.00295543]
 [ 0.14900473  0.17365698]
 [ 0.03548281  0.01216285]
 [ 0.00771863  0.01027111]
 [ 0.00994923  0.00673343]
 [ 0.00489735  0.00230028]
 [ 0.00059759  0.00023388]
 [ 0.00029902  0.00059321]
 [ 0.00329653  0.0026184 ]
 [ 0.00642617  0.00729081]]",[ 0.          0.00523942],[ 0.23233074  0.18933247],[ 0.76911548  0.33172073],[ 0.09011264  0.03379224],1927.71315294,[ 2.9760687   3.19262501],[ 0.04034076  0.0496531 ],[ 0.315   0.0525]
03a04Ad9,2181.0,"[ 0.53550493  0.59583924  0.3870609   0.26048344  0.24651262  0.27667312
  0.29517998]","[[ -2.79547536e+01  -2.72717304e+01  -2.29135247e+01  -2.20455185e+01
   -2.18718079e+01  -2.35666599e+01  -2.39317752e+01]
 [  1.74660510e+00   4.28109671e-01   1.56800213e+00   1.07363684e+00
    1.34783594e+00  -1.64971754e-01  -4.28363051e-01]
 [  8.24321146e-01   1.01498387e+00  -5.06482114e-01  -1.30521870e+00
   -8.80024726e-01  -1.15259292e+00  -6.58442042e-01]
 [  2.06265823e-01   2.06337200e-01  -4.91804216e-01  -5.46681651e-02
    5.69864200e-01   6.36968306e-01   9.22136807e-01]
 [  3.32547098e-01  -2.00420898e-01  -6.18402726e-01  -1.32203243e-01
    2.79225367e-02   3.25821099e-01   2.96634919e-02]
 [  4.85540959e-01   4.75763745e-02  -3.63649874e-02   1.59773768e-01
   -2.59682646e-01  -2.55206956e-01   1.12061105e-01]
 [  3.30760696e-02   5.79635999e-02  -5.71739167e-02   4.02733580e-01
   -9.02419839e-02  -3.31758891e-01   5.68181783e-02]
 [ -9.21019804e-02   1.31896190e-01  -5.30106123e-01  -5.31120019e-01
   -6.65058907e-01  -8.32801713e-01  -4.65573624e-01]
 [  1.77412814e-01  -2.16677245e-01  -7.46019971e-02  -3.46096477e-01
   -2.01974805e-02  -5.78532703e-01  -5.57102048e-01]
 [  3.07160313e-01  -6.55372642e-02  -7.14086464e-01  -7.35623281e-01
   -2.28162477e-02  -4.73080187e-02  -2.27925550e-01]
 [ -8.15616527e-02  -7.66044957e-02  -1.33385651e+00  -1.18175134e+00
   -8.89803990e-01  -8.31423690e-01  -1.13719469e+00]
 [ -3.26780164e-01   1.75406203e-01  -1.25182761e-01  -2.48551101e-01
   -2.13185705e-01  -3.50641952e-01  -2.81377827e-01]]","[ 0.00211332  0.00715389  0.03539247  0.0607723   0.04735771  0.02892813
  0.03189941]","[[ 0.00083318  0.00067697  0.00169913  0.01348878  0.03425372  0.00777142
   0.00614865]
 [ 0.00349481  0.00077496  0.03422106  0.02665854  0.06285765  0.12208797
   0.12064801]
 [ 0.00046803  0.0003538   0.07804871  0.11716709  0.02543106  0.0011513
   0.00076282]
 [ 0.00443849  0.00140032  0.04223909  0.01223865  0.00503796  0.00089123
   0.00043267]
 [ 0.00092155  0.00091969  0.00378275  0.00059178  0.00282358  0.00090316
   0.00031759]
 [ 0.0119665   0.00489746  0.00176562  0.00120846  0.00235301  0.00274367
   0.00110785]
 [ 0.00082829  0.00057261  0.00037103  0.00123017  0.00298264  0.01943747
   0.0269203 ]
 [ 0.00120072  0.00214484  0.00160449  0.00924276  0.03716513  0.00458493
   0.00222197]
 [ 0.04240909  0.00143692  0.00607074  0.00698596  0.0054811   0.00081397
   0.00157833]
 [ 0.01871975  0.00105953  0.00416253  0.00245407  0.00572844  0.00305172
   0.00571904]]","[ 0.          0.00326468  0.00622305  0.00400822  0.00540134  0.00749122
  0.00191402]","[ 0.29107124  0.23607206  0.30200987  0.24923372  0.23219792  0.22762734
  0.23444568]","[ 2.65819114  2.48847938  1.63310778  1.28383666  1.52839291  1.48746509
  1.54237947]","[ 0.5068836   0.65331665  0.36295369  0.12265332  0.14267835  0.13767209
  0.13767209]",3577.18073348,"[ 3.14584854  2.69137098  2.75518574  3.18345226  3.20537136  3.27424929
  3.25636472]","[ 0.01168388  0.00137871  0.02328914  0.03132335  0.01875077  0.03284938
  0.03271817]",[ 0.85    0.845   0.6525  0.1825  0.2     0.195   0.1975]
