,F0,spectralCentroid,MFCC,energy,chroma,spectralFlux,spectralSpread,spectralEntropy,ZCR,loudness,energyEntropy,chromaDeviation,spectralRolloff
03a04Lc0,673.0,"[ 0.18069816  0.2382111   0.09910282  0.17077826  0.142482    0.16515804
  0.16267941  0.13987523]","[[ -3.41094397e+01  -3.30516984e+01  -2.79176328e+01  -2.33332470e+01
   -2.26841374e+01  -2.25115416e+01  -2.21696038e+01  -2.17787210e+01]
 [  1.97740553e+00   1.84037512e+00   4.98077456e+00   2.84373436e+00
    2.66935739e+00   1.91568369e+00   1.42048279e+00   2.28168575e+00]
 [ -1.52420712e+00  -1.27701349e+00  -1.22671787e+00  -1.30251069e+00
   -1.95127427e+00  -9.64058318e-01  -9.99403121e-01  -3.22273474e-01]
 [  2.32243849e-01  -7.24720555e-02  -8.30045576e-01  -6.11846573e-01
   -8.13186829e-01  -1.81226179e-01  -1.84862709e-01  -2.68307296e-01]
 [  4.58419699e-01   7.19008228e-01   1.05127828e+00   1.42405192e-01
   -7.52160102e-02  -3.86382433e-01  -1.01064380e+00  -1.02644963e+00]
 [  6.38000163e-02   8.01732965e-02  -2.64150818e-01   7.01342189e-02
   -2.35599783e-01  -4.46085578e-03   1.88472407e-01   6.47314198e-01]
 [  4.87728647e-01   4.44388242e-01   5.30685112e-01   1.41466124e-01
    3.33801537e-01   5.56515512e-01   3.35896270e-01   2.32831001e-01]
 [ -4.00330982e-01  -5.05360696e-01  -2.07431501e-01   1.74314989e-01
    1.80082930e-01   2.32037208e-02  -2.34733774e-01  -3.09079298e-01]
 [  4.85805834e-02  -2.94856948e-01  -4.87582423e-02  -2.80485839e-01
   -4.55518430e-01  -4.23691143e-01  -2.18878491e-01  -6.94194584e-02]
 [  2.06733332e-01  -7.30474005e-02  -2.54693690e-02  -2.21238326e-01
   -8.21296669e-04   1.62198368e-01   3.34760505e-02   1.58757392e-02]
 [ -8.44272056e-02  -2.44041999e-01  -3.87651439e-01   8.19740579e-02
   -2.10222080e-01  -1.54181103e-01  -5.96799693e-01  -2.77630248e-01]
 [  1.99674939e-01   1.39834478e-01  -1.46532873e-02   4.05627472e-02
   -1.40331819e-02   2.72113731e-01   1.38799934e-01   7.01093817e-01]]","[  8.51373961e-06   1.60300948e-05   1.79740510e-03   2.10129075e-02
   7.28430504e-02   1.30406085e-01   1.61817861e-01   1.19462454e-01]","[[ 0.0018844   0.00621236  0.00645418  0.00344831  0.00351704  0.00065493
   0.00049739  0.00042419]
 [ 0.10145778  0.02064685  0.02652748  0.00625101  0.00148776  0.00064352
   0.00063294  0.00180708]
 [ 0.00239401  0.00263894  0.01744782  0.00766735  0.00399946  0.00077612
   0.00167425  0.00223568]
 [ 0.0085558   0.00687934  0.01720528  0.0417016   0.10599727  0.15861479
   0.16134211  0.05482808]
 [ 0.01216823  0.01807026  0.01288486  0.01733183  0.00529646  0.00133398
   0.0004434   0.00303522]
 [ 0.0837973   0.09958812  0.02181981  0.01821025  0.00850573  0.00074614
   0.00060462  0.00365159]
 [ 0.01368341  0.01428017  0.00840123  0.00603864  0.00182565  0.00028249
   0.000284    0.00037291]
 [ 0.00183402  0.00978564  0.01003296  0.00250106  0.00141493  0.00038342
   0.00025822  0.00330499]
 [ 0.01096408  0.01505577  0.03010542  0.02837294  0.02585894  0.02614651
   0.02990821  0.02867158]
 [ 0.03156096  0.0333398   0.03842985  0.03086441  0.0224734   0.01779877
   0.01365178  0.01570981]]","[ 0.          0.00368638  0.01099774  0.00694612  0.00749254  0.00702996
  0.00242958  0.01543395]","[ 0.21117109  0.24467103  0.14279789  0.21371846  0.17175081  0.18613872
  0.17137689  0.15082143]","[ 0.84499016  1.19922027  0.24540058  0.49097214  0.42366195  0.39560975
  0.44763507  0.45722851]","[ 0.10262829  0.13767209  0.09887359  0.06382979  0.06508135  0.06758448
  0.06758448  0.06257822]",8000.82908204,"[ 2.98535745  3.02692351  0.65174104  2.51603092  3.10224821  3.27890438
  3.30951912  3.11542512]","[ 0.03225562  0.02549815  0.01040655  0.0125992   0.02836961  0.04335624
  0.04420119  0.01581876]",[ 0.1375  0.17    0.085   0.0925  0.09    0.09    0.09    0.07  ]
03a04Lc1,1056.0,[ 0.08598821  0.43505731  0.33988508  0.17382394  0.1472759 ],"[[ -3.08241065e+01  -2.84348530e+01  -2.56487514e+01  -2.26017441e+01
   -2.15946799e+01]
 [  4.15706552e+00   1.01678387e-02   1.90655629e+00   2.52926551e+00
    2.65865304e+00]
 [  7.64556084e-01  -5.95066883e-02   5.80927137e-01   7.62386633e-01
    3.82796475e-01]
 [  2.62458001e-01  -1.04885358e+00  -1.79739529e-01  -5.12066036e-01
   -7.06692915e-01]
 [  4.43488234e-01  -6.71137546e-01   3.93977508e-02  -1.35754500e+00
   -1.59115712e+00]
 [  3.92531534e-01  -5.90671213e-02   2.12775759e-01   4.40890806e-01
    4.59765043e-01]
 [  3.68435670e-01   7.04242576e-01   4.91024665e-01   3.58501835e-01
    5.30175677e-01]
 [ -2.45150128e-01   2.88832366e-01   3.46655308e-01   4.90570706e-02
   -4.69774540e-02]
 [ -6.88473781e-02   1.18466168e-01   3.37670742e-01   5.28932538e-01
    2.52039363e-01]
 [  2.08754742e-01  -1.00545106e-01  -9.29999261e-02   2.46245706e-01
    8.29903449e-02]
 [  4.11018862e-01   3.01029929e-01  -1.44503443e-01  -3.89904879e-01
   -5.54726531e-01]
 [  2.08887765e-01   2.36008951e-03  -3.25884578e-01   1.69869565e-01
    2.65213065e-01]]",[ 0.00079926  0.00078877  0.0027832   0.05162139  0.10603282],"[[ 0.00033906  0.00228267  0.01277452  0.01343016  0.02990015]
 [ 0.03330604  0.00834729  0.01999145  0.06101504  0.06880352]
 [ 0.00073608  0.01088505  0.01191295  0.03098968  0.01576558]
 [ 0.02448991  0.00479171  0.01693229  0.01514034  0.01915321]
 [ 0.0043706   0.00194997  0.00115798  0.0010105   0.0068923 ]
 [ 0.10934001  0.00533913  0.02755299  0.00985528  0.0021263 ]
 [ 0.00037973  0.00158481  0.00091644  0.00025593  0.00182528]
 [ 0.00193859  0.00136283  0.00173442  0.00058894  0.00276773]
 [ 0.06802078  0.00124055  0.0240089   0.02950533  0.0089864 ]
 [ 0.03627112  0.01471534  0.02650965  0.02792512  0.01219054]]",[ 0.          0.04452681  0.00328178  0.0108472   0.00539441],[ 0.16773542  0.2396357   0.26837711  0.18567214  0.15666088],[ 0.02916037  2.67081575  1.81855095  0.5614427   0.50393386],[ 0.01251564  0.19148936  0.33541927  0.17647059  0.06758448],3763.63707071,[ 1.79002002  2.28361149  2.29432032  2.42204324  3.13207936],[ 0.03262595  0.00418567  0.0100593   0.01728433  0.01800212],[ 0.025   0.6425  0.545   0.0675  0.07  ]
03a04Lc10,253.0,"[ 0.09456061  0.08236684  0.06947327  0.07567558  0.10041074  0.09458088
  0.13528926]","[[ -2.40357562e+01  -2.32105004e+01  -2.35589893e+01  -2.38604578e+01
   -2.46704726e+01  -2.69357988e+01  -2.86569074e+01]
 [  4.41503022e+00   4.62990622e+00   4.56360314e+00   4.31591652e+00
    3.85529072e+00   3.58210449e+00   2.60238828e+00]
 [ -2.15555659e-01  -4.53728001e-01  -4.45734308e-01  -3.65887784e-02
    5.17092344e-01   5.00783999e-01   4.66203506e-01]
 [  2.71089691e-01   3.21766571e-01   4.40697978e-01   5.83771711e-01
    5.04077814e-01   5.35043819e-01   7.23567470e-01]
 [ -4.09355648e-02  -2.57559173e-01  -2.20858794e-01  -1.37642607e-01
    1.30938235e-01   2.94365525e-01   5.49878423e-01]
 [ -1.21924134e-01  -3.88543895e-01  -3.49431273e-01  -4.21910024e-01
   -2.93842838e-01   3.44390546e-02   2.23413753e-01]
 [ -3.97062304e-02  -3.42072946e-04   3.35431752e-03   2.03239998e-01
   -1.84704602e-01   3.95633727e-01   6.11664746e-01]
 [  4.29858844e-01   4.18290401e-01   4.12217361e-01   3.59226346e-01
    1.43130083e-01   2.98414678e-01   4.77650356e-01]
 [  1.89696171e-01  -4.24854800e-02  -7.48897553e-02  -3.44942113e-02
    2.03075627e-01   9.36391429e-02   3.51860076e-01]
 [ -2.42897972e-01   1.73441742e-01   1.87620689e-01   1.27623446e-01
    3.78399196e-01   8.25217850e-02   2.41865548e-01]
 [  1.18366229e-01   6.86501079e-02  -7.96422838e-02   1.22932940e-01
    1.19883522e-01   1.81618523e-01   1.81288690e-01]
 [  1.51865037e-01   5.06561334e-02   9.05866857e-02  -3.56191270e-02
   -1.43709768e-01   3.24209200e-02   2.24219796e-01]]","[ 0.03504212  0.0768198   0.07700754  0.06296354  0.03968925  0.01463807
  0.00344697]","[[  8.18546615e-03   2.11159034e-03   7.84369160e-04   1.87837829e-03
    3.18704177e-03   6.75708887e-05   7.68154938e-04]
 [  7.20676904e-02   1.06527415e-01   9.46271393e-02   8.85380781e-02
    1.33773684e-01   1.80028235e-01   1.42456730e-01]
 [  1.03998716e-02   2.70976984e-03   4.17068816e-03   2.92924412e-03
    1.35774340e-03   7.32676126e-04   7.49411822e-04]
 [  3.81664647e-02   1.40192043e-02   1.08389149e-02   1.99322984e-02
    2.01029919e-02   8.38361661e-03   1.79997543e-02]
 [  9.42994708e-03   2.11120760e-02   4.74406108e-02   3.04454175e-02
    2.01651419e-02   2.37399197e-03   4.56966547e-04]
 [  3.85769849e-02   2.08934181e-02   9.08895961e-03   1.49508056e-02
    1.74631359e-02   4.41731355e-02   4.64658514e-02]
 [  5.74598398e-04   1.16663744e-03   1.64783135e-03   5.82542301e-04
    2.11970574e-04   1.68796759e-05   2.84172400e-05]
 [  1.68240230e-02   6.41461383e-03   6.95285950e-04   8.39230397e-04
    1.45666037e-03   1.44974034e-04   3.04597683e-04]
 [  2.36501008e-03   1.49800568e-02   2.28523198e-02   2.75643832e-02
    1.75145830e-02   3.03994981e-03   4.10052813e-03]
 [  2.63384761e-02   4.24181116e-02   7.39490052e-02   9.37874105e-02
    8.48928719e-02   9.19697636e-02   1.21888564e-01]]","[ 0.          0.00981174  0.00704845  0.00286317  0.00238028  0.01057501
  0.00518792]","[ 0.15762159  0.13204963  0.10622114  0.129231    0.18019517  0.18067624
  0.2208555 ]","[ 0.14345482  0.12741996  0.12475428  0.09265138  0.07191488  0.04696816
  0.09953932]","[ 0.06382979  0.02753442  0.02503129  0.02252816  0.01627034  0.01126408
  0.02503129]",1378.92059235,"[ 1.8050348   2.84606737  2.99341141  3.03815874  2.97370058  2.94683452
  2.57534205]","[ 0.02016704  0.02829385  0.03032251  0.03180963  0.0397014   0.0527955
  0.04849972]",[ 0.055   0.0575  0.0575  0.045   0.045   0.0225  0.015 ]
03a04Lc2,562.0,"[ 0.14947815  0.13543969  0.17867618  0.14574328  0.16389104  0.17363243
  0.1591457 ]","[[ -2.28083091e+01  -2.26480318e+01  -2.30142502e+01  -2.17375600e+01
   -2.08725077e+01  -2.07775622e+01  -2.15174951e+01]
 [  2.32579126e+00   2.21967939e+00   1.32967375e+00   1.90876060e+00
    1.86556656e+00   1.77459488e+00   1.98390188e+00]
 [ -1.40581742e+00  -1.87417756e+00  -1.65167055e+00  -1.95538894e+00
   -1.64706758e+00  -1.60867185e+00  -1.42092111e+00]
 [ -3.60361992e-02  -1.33242619e-01   3.91439976e-01  -1.18793695e-01
    2.19314329e-02   1.14893507e-01  -9.84330989e-02]
 [ -3.67821207e-01   8.78324815e-02   7.36653919e-01   1.98761174e-01
    4.62359073e-01   4.98199311e-01   3.56309827e-01]
 [  6.14301590e-01   3.26879503e-01   4.91212628e-01   3.08021573e-02
    2.69471083e-01   1.59577001e-01   3.55912005e-01]
 [  6.63303837e-01   3.07425023e-01   3.11383435e-01   2.79065292e-01
    5.06371811e-01   4.25955501e-01   5.02642465e-01]
 [ -3.37594429e-01  -2.06997587e-01  -2.45550696e-01  -2.20737928e-01
   -6.55021368e-02  -2.31445975e-01   1.43027391e-01]
 [ -4.54490411e-01  -4.63286934e-01  -4.30202216e-01  -4.59312806e-01
   -3.00314612e-01  -3.38827127e-01  -3.42331288e-01]
 [  5.01238066e-01   6.51365333e-01   4.98574491e-01   6.24309891e-01
    5.78043111e-01   4.58913170e-01   4.09699780e-01]
 [ -2.01417635e-01  -8.62532489e-02   8.42391535e-02  -4.55735403e-03
   -1.01865412e-01   1.82311518e-02  -2.57092145e-01]
 [  1.48135393e-01   1.33428273e-01   2.68971885e-01   3.62762470e-03
   -3.32781863e-01  -9.51602484e-02  -8.19941612e-02]]","[ 0.02983915  0.03214094  0.04442765  0.06969509  0.1033356   0.10709634
  0.07573208]","[[ 0.00324898  0.0021734   0.00048651  0.00671693  0.00368048  0.01155097
   0.00432394]
 [ 0.00869239  0.01913412  0.02444594  0.01735957  0.01058961  0.01695774
   0.01554636]
 [ 0.00549488  0.00648408  0.0125114   0.00393103  0.00449517  0.00130617
   0.00476412]
 [ 0.01291755  0.00370827  0.00061284  0.00502514  0.00510804  0.01641376
   0.01653991]
 [ 0.07839879  0.00616708  0.00313674  0.00542421  0.00592052  0.00601662
   0.00600491]
 [ 0.00550215  0.0268801   0.01064087  0.06917008  0.04943848  0.01539688
   0.00312154]
 [ 0.00588845  0.01507973  0.00125079  0.01103419  0.03523556  0.02509634
   0.00921882]
 [ 0.01346011  0.01268366  0.00591307  0.00826241  0.00386896  0.02069532
   0.06126512]
 [ 0.00551229  0.00641347  0.00203346  0.00750462  0.03383514  0.01383048
   0.00053111]
 [ 0.01298438  0.00077071  0.00397149  0.0042047   0.00515528  0.01024165
   0.01391438]]","[ 0.          0.00920927  0.00691999  0.01671228  0.00448327  0.00532266
  0.00671343]","[ 0.16066469  0.12722485  0.18652445  0.13148542  0.16232304  0.17188122
  0.14859023]","[ 0.68825423  0.81786976  0.94578684  0.97381751  1.03007367  1.01230317
  0.97939879]","[ 0.06382979  0.06132666  0.06257822  0.06883605  0.07884856  0.0738423
  0.07259074]",6145.15882626,"[ 3.01934566  2.98413413  2.93094646  3.08422916  3.25907625  3.17295118
  2.99043464]","[ 0.02001043  0.00751397  0.00756099  0.01732356  0.01489599  0.00722321
  0.01594273]",[ 0.1625  0.145   0.1475  0.1525  0.1575  0.1575  0.1525]
03a04Lc3,522.0,[ 0.08170707  0.12409884  0.08970701  0.12761815  0.11423812  0.17249286],"[[ -2.41317566e+01  -2.29061798e+01  -2.29967895e+01  -2.32983241e+01
   -2.48886837e+01  -2.65273228e+01]
 [  3.88902292e+00   3.15218896e+00   3.48283977e+00   3.31577046e+00
    3.91526707e+00   3.30886905e+00]
 [  6.27378365e-01   6.32324937e-01   8.54227530e-01   5.43323482e-01
    7.79370769e-01   6.41955696e-01]
 [  1.02475062e+00   1.13369025e+00   1.23906002e+00   7.67267600e-01
    3.83412467e-01   2.79944881e-01]
 [ -6.10957849e-01  -4.12517717e-01  -9.31188527e-01  -2.74527882e-01
   -3.68787778e-01  -8.76881734e-02]
 [ -3.30110622e-01  -4.17206326e-01  -7.04856686e-01  -2.62594881e-01
   -1.66249824e-01  -1.15898387e-01]
 [ -2.76711082e-01  -6.15754069e-02   1.37066135e-02  -9.57099008e-02
    1.57474949e-02  -1.62348730e-01]
 [ -3.39920855e-02   1.12633150e-01   2.72688455e-01   8.62527656e-03
   -1.95975972e-01  -3.73409508e-01]
 [ -3.27140774e-01  -1.24018883e-01  -2.47735449e-01  -2.89946082e-02
    3.39909449e-01   3.22404881e-01]
 [  5.19400454e-01   3.84632846e-01   2.84539834e-01   4.08674785e-01
    2.85705772e-01   3.21247117e-02]
 [  2.63386446e-01   2.53228591e-01   6.14580891e-02   4.00975268e-01
   -1.71124294e-01   2.45734462e-01]
 [ -8.71698636e-02  -9.17163596e-02  -6.92265713e-02   9.28177441e-02
    1.51684996e-01   1.97023716e-01]]",[ 0.06353161  0.11592659  0.11233293  0.07127937  0.02568525  0.00318161],"[[  7.39542259e-04   1.70497096e-03   6.08723702e-03   1.22871606e-03
    2.35529463e-03   1.95439937e-03]
 [  8.17962173e-02   8.20630858e-02   1.24827817e-01   1.16709613e-01
    7.45838300e-02   4.73530747e-02]
 [  4.42426370e-02   2.04009470e-02   8.46150826e-03   1.73972733e-03
    4.62008493e-03   1.01678988e-02]
 [  4.77138958e-02   4.59977510e-02   2.76339248e-02   2.37775394e-02
    3.95475279e-02   3.51466276e-02]
 [  2.88080168e-03   4.92815191e-04   4.03299842e-03   8.91738513e-04
    2.29414202e-03   1.32200248e-02]
 [  1.75943619e-02   3.34052638e-03   1.37785446e-02   5.29399884e-03
    2.65367168e-02   6.02055748e-02]
 [  2.65126176e-05   7.53841603e-05   1.74753995e-04   5.43835623e-04
    3.19922201e-04   8.56767355e-04]
 [  9.35677448e-03   3.02190452e-03   4.75134201e-02   8.71513315e-02
    5.60276790e-02   9.75168201e-03]
 [  1.55991638e-02   2.04908953e-03   7.07077373e-03   4.33915408e-03
    8.12284549e-03   1.47419317e-02]
 [  5.84533806e-03   3.64164131e-03   6.24260490e-03   6.73921681e-03
    6.31040312e-03   4.25400374e-02]]",[ 0.          0.00670787  0.01170144  0.0053165   0.00648544  0.00935343],[ 0.13004114  0.18746603  0.13441045  0.19636859  0.18952446  0.24571911],[ 0.09803739  0.15338141  0.14466278  0.14713516  0.08835423  0.26270033],[ 0.0350438   0.03379224  0.03379224  0.03629537  0.06758448  0.08510638],2117.46168797,[ 2.79947654  3.20117178  3.17886831  3.01895989  2.28089936  1.09519513],[ 0.02466526  0.02411757  0.03400632  0.03678592  0.02382102  0.01856157],[ 0.0425  0.0425  0.0425  0.0425  0.0425  0.05  ]
03a04Lc4,865.0,[ 0.34223874  0.23917368  0.14973678  0.16320944  0.16025504],"[[ -2.87842189e+01  -2.56966886e+01  -2.25188780e+01  -2.17875581e+01
   -2.18609376e+01]
 [  5.60012350e-01   2.07310421e+00   2.94095930e+00   2.80954025e+00
    3.12258677e+00]
 [  3.21757758e-01   6.80795752e-01   6.04302761e-01   3.48829172e-01
    9.87069512e-02]
 [ -9.96626768e-01   5.95455579e-02   1.21021691e-02  -1.10302589e-01
   -2.37750466e-01]
 [ -7.81221618e-01  -4.21030005e-01  -1.19636727e+00  -9.44578437e-01
   -8.69991241e-01]
 [  4.46522452e-01   3.82714977e-01   6.43817774e-01   5.86927149e-01
    3.53323310e-01]
 [ -2.08171645e-01  -5.25950860e-02   2.60357516e-01   2.09530920e-01
    1.15389571e-01]
 [  4.73011123e-02   1.08634407e-01  -1.40405216e-01  -2.32066411e-01
   -1.18649015e-01]
 [  4.94558296e-01   1.54283048e-01   3.07869771e-01   2.47290771e-01
    3.92903685e-01]
 [  1.11092767e-01  -3.47917414e-01  -2.39513771e-02   4.88428747e-02
    6.57395444e-02]
 [  5.02165728e-01   1.90815956e-01  -3.38089725e-01  -3.84824280e-01
   -2.54386479e-01]
 [ -2.24651986e-01  -2.09789646e-01   2.11197573e-01   1.67668637e-01
    2.37804843e-01]]",[ 0.00034322  0.00215783  0.04643572  0.09896092  0.08167213],"[[ 0.01056343  0.01067329  0.00962809  0.0046574   0.00850835]
 [ 0.02207848  0.03793099  0.06059337  0.04252021  0.05286691]
 [ 0.00315598  0.01630653  0.02280787  0.02923864  0.01230327]
 [ 0.00143014  0.02623897  0.03727359  0.04124875  0.0355558 ]
 [ 0.00449824  0.01440576  0.00593404  0.01041364  0.00847439]
 [ 0.01452918  0.03333048  0.01367846  0.00346701  0.00675436]
 [ 0.00239343  0.00057691  0.00054056  0.00051854  0.00048769]
 [ 0.00358164  0.00341238  0.0035139   0.00400546  0.00413847]
 [ 0.00328936  0.01813941  0.01747573  0.01615775  0.01190634]
 [ 0.01657456  0.03833785  0.00887039  0.00386155  0.00256933]]",[ 0.          0.00398111  0.00727202  0.0027445   0.00263882],[ 0.23328334  0.2401601   0.17863939  0.19534882  0.2049916 ],[ 2.31665771  1.20784511  0.48938415  0.4398473   0.37485659],[ 0.20275344  0.23404255  0.12515645  0.0563204   0.05131414],2939.88129012,[ 2.23206378  1.60588618  2.3589312   3.17897529  3.04818793],[ 0.00641088  0.01286494  0.01681279  0.014926    0.01489087],[ 0.4975  0.295   0.0725  0.0725  0.065 ]
03a04Lc5,1369.0,[ 0.25751222],"[[ -2.25672418e+01]
 [  2.69659501e+00]
 [  6.94735408e-01]
 [  3.07702028e-01]
 [  1.06252530e-01]
 [  1.47117559e-01]
 [  6.50260778e-03]
 [ -6.37566818e-01]
 [  3.26952688e-02]
 [ -4.58631815e-02]
 [  5.79111955e-01]
 [  2.47094858e-03]]",[ 0.04337048],"[[ 0.00215813]
 [ 0.07308461]
 [ 0.01010831]
 [ 0.01988701]
 [ 0.02534274]
 [ 0.02661826]
 [ 0.0044693 ]
 [ 0.01275945]
 [ 0.00942817]
 [ 0.0485727 ]]",[ 0.],[ 0.25733121],[ 0.91325291],[ 0.13767209],862.358394173,[ 2.38814216],[ 0.02012119],[ 0.4025]
03a04Lc6,777.0,[ 0.19224791],"[[ -2.29955334e+01]
 [  3.45014242e+00]
 [  1.90543486e+00]
 [ -8.94885324e-02]
 [ -4.51378828e-01]
 [ -1.41153963e-01]
 [ -4.17289352e-01]
 [  1.35249852e-02]
 [  3.44051798e-01]
 [ -4.17686690e-03]
 [  3.96501484e-01]
 [ -2.14790290e-02]]",[ 0.11136643],"[[  1.73871368e-03]
 [  1.11216633e-01]
 [  6.12179168e-03]
 [  1.50667872e-02]
 [  1.29489217e-02]
 [  2.73332626e-02]
 [  5.87133084e-05]
 [  9.52382975e-03]
 [  1.45787169e-02]
 [  1.68708013e-02]]",[ 0.],[ 0.24162891],[ 0.27376124],[ 0.08260325],1830.20709211,[ 3.14886815],[ 0.028608],[ 0.05]
03a04Lc7,3931.0,[ 0.46344271  0.56753775],"[[-23.04250815 -25.57696142]
 [  1.12114661   0.42382166]
 [  1.6757197    1.36121154]
 [ -0.15468011  -0.149908  ]
 [  0.13697      0.42203585]
 [  0.47945286   0.39629053]
 [  0.18345531   0.29184381]
 [  0.46576884   0.34201891]
 [  0.37902366   0.50024574]
 [ -0.40572661   0.138474  ]
 [  0.18102861   0.57728454]
 [ -0.27684475   0.17707548]]",[ 0.07052034  0.04099708],"[[ 0.00228451  0.00106946]
 [ 0.05805688  0.01487636]
 [ 0.00183887  0.00081903]
 [ 0.00683842  0.00381945]
 [ 0.00352054  0.00274383]
 [ 0.01301849  0.00548886]
 [ 0.00028571  0.00027754]
 [ 0.00071707  0.00220037]
 [ 0.00297809  0.00134917]
 [ 0.03352741  0.00503903]]",[ 0.          0.00234969],[ 0.27095862  0.23081345],[ 2.72718479  2.74922322],[ 0.44430538  0.58072591],658.350970228,[ 3.11163191  3.30612421],[ 0.01679435  0.00389577],[ 0.7175  0.8   ]
03a04Lc8,493.0,[ 0.18941005  0.12435898  0.07467147  0.12110464],"[[ -2.39974914e+01  -2.30612192e+01  -2.36844722e+01  -2.40648437e+01]
 [  3.62387490e+00   3.67581088e+00   4.25230337e+00   3.63167878e+00]
 [  1.69650187e+00   9.46203501e-01   9.78422315e-01   9.44309402e-01]
 [ -4.85591786e-01  -3.18775006e-01  -2.66772158e-01   6.20428719e-01]
 [ -6.56028396e-01  -4.59016509e-01  -2.08184548e-01  -1.46885986e-02]
 [ -2.46303532e-02   8.90646849e-02   2.32256214e-01  -3.81145922e-01]
 [ -4.14315066e-01  -5.32229123e-01  -5.63101741e-01  -2.85340450e-01]
 [  1.67515534e-01   7.90056612e-02   3.36561138e-02   1.19256859e-02]
 [ -1.53622849e-01   1.48914754e-01   4.01410124e-01   8.22817502e-02]
 [  5.18142257e-02   1.19584421e-01   2.61552644e-02   8.29119157e-02]
 [  2.33208365e-01   1.76754908e-01   1.12463470e-01   1.74236539e-01]
 [ -5.20402949e-02  -2.83352544e-02   4.83391034e-02   2.45630333e-01]]",[ 0.04692952  0.08102254  0.08729672  0.07121405],"[[  4.85142207e-03   1.06672307e-02   1.50656860e-03   1.19268629e-03]
 [  2.51482725e-02   2.82886489e-02   5.96748806e-02   6.61633051e-02]
 [  2.58714961e-03   2.50094823e-03   3.52558337e-03   8.90187466e-04]
 [  6.24915324e-02   5.85304366e-02   2.47123076e-02   1.92613010e-02]
 [  2.07215438e-02   1.38330967e-02   4.25209496e-02   6.70163319e-02]
 [  1.20512398e-02   1.03781289e-02   1.22056981e-02   1.62069313e-02]
 [  1.78273125e-04   6.59806442e-04   7.06898150e-04   6.16528667e-05]
 [  1.12809486e-02   7.68709196e-03   1.09760407e-03   3.12597922e-03]
 [  2.96681940e-02   5.17683089e-02   4.48638794e-02   2.68000108e-02]
 [  6.99902787e-02   8.19178681e-02   8.20454122e-02   9.36720952e-02]]",[ 0.          0.00483806  0.00564931  0.00267094],[ 0.23878935  0.18959032  0.12294452  0.20552872],[ 0.27241226  0.11219687  0.05266041  0.06524991],[ 0.11764706  0.04380476  0.02753442  0.02377972],1885.62483013,[ 2.6030873   2.95693363  3.07488746  3.10325666],[ 0.02173884  0.02579272  0.02668654  0.03123691],[ 0.05    0.0475  0.045   0.045 ]
