,F0,spectralCentroid,MFCC,energy,chroma,spectralFlux,spectralSpread,spectralEntropy,ZCR,loudness,energyEntropy,chromaDeviation,spectralRolloff
03a04Ad,[ 1439.],"[[ 0.30286628  0.24171411  0.32709674 ...,  0.          0.          0.        ]]","[[ -3.54809947e+01  -3.56147667e+01  -3.02180345e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.49737405e-01   6.50173179e-01  -1.48424445e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -7.15726485e-01  -1.03507448e+00  -1.42605703e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  1.40410580e-01   3.44476561e-01   1.36112549e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -1.89283145e-01  -2.53470240e-01  -5.91595503e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.77444461e-01   1.80738593e-02   9.70666403e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  1.89637711e-06   2.27039747e-06   1.35774565e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.00107669  0.00083594  0.00662787 ...,  0.          0.          0.        ]
 [ 0.04204375  0.03654195  0.00297131 ...,  0.          0.          0.        ]
 [ 0.00430443  0.00587518  0.00229693 ...,  0.          0.          0.        ]
 ..., 
 [ 0.00429134  0.00457508  0.00315141 ...,  0.          0.          0.        ]
 [ 0.00547584  0.00197504  0.00269206 ...,  0.          0.          0.        ]
 [ 0.00780973  0.01187153  0.00362905 ...,  0.          0.          0.        ]]","[[ 0.          0.00353049  0.00695004 ...,  0.          0.          0.        ]]","[[ 0.24387208  0.23714129  0.22503242 ...,  0.          0.          0.        ]]","[[ 2.07242174  1.33906954  2.31620293 ...,  0.          0.          0.        ]]","[[ 0.18523154  0.08760951  0.12265332 ...,  0.          0.          0.        ]]",[ 3863.04426586],"[[ 3.14753788  2.755937    2.11194597 ...,  0.          0.          0.        ]]","[[ 0.01889649  0.05878074  0.00260275 ...,  0.          0.          0.        ]]","[[ 0.3775  0.185   0.435  ...,  0.      0.      0.    ]]"
03a05Aa,[ 1309.],"[[ 0.17924393  0.16285018  0.22010772 ...,  0.          0.          0.        ]]","[[ -3.69659040e+01  -3.69387226e+01  -2.65089726e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.94652165e+00   3.12913966e+00   2.65453316e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  8.67514257e-01   4.19881412e-01   1.22478393e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  2.58463885e-02   1.84275133e-01  -3.49022966e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.63057814e-01   5.27954427e-01  -3.78690291e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  7.75214703e-03   7.62126492e-03  -1.80572588e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  2.94794703e-06   3.83231360e-06   1.47523093e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.00167284  0.00089118  0.01578757 ...,  0.          0.          0.        ]
 [ 0.09557269  0.16635996  0.03964087 ...,  0.          0.          0.        ]
 [ 0.00553025  0.00387143  0.0258262  ...,  0.          0.          0.        ]
 ..., 
 [ 0.01051303  0.00784518  0.00479263 ...,  0.          0.          0.        ]
 [ 0.01182717  0.0049807   0.0116879  ...,  0.          0.          0.        ]
 [ 0.01127044  0.04623464  0.02047659 ...,  0.          0.          0.        ]]","[[ 0.          0.00668363  0.01987602 ...,  0.          0.          0.        ]]","[[ 0.24601599  0.24259176  0.24967422 ...,  0.          0.          0.        ]]","[[ 0.22685364  0.15873793  0.71517215 ...,  0.          0.          0.        ]]","[[ 0.05006258  0.01877347  0.12515645 ...,  0.          0.          0.        ]]",[ 3667.50337423],"[[ 2.09725256  2.6639387   0.89793983 ...,  0.          0.          0.        ]]","[[ 0.06381994  0.05048105  0.01049406 ...,  0.          0.          0.        ]]","[[ 0.045   0.0425  0.1075 ...,  0.      0.      0.    ]]"
03b02Aa,[ 1183.],"[[ 0.19868867  0.28412522  0.55096408 ...,  0.          0.          0.        ]]","[[ -3.64370997e+01  -3.37986731e+01  -3.18654122e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.47505408e+00   1.93166924e-01  -5.76685783e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.08918582e-01  -4.04500991e-02   1.88954703e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -1.54729836e-01  -1.84033969e-01   1.36528612e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -3.11272812e-02  -9.92187463e-02   3.11037700e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  8.62817566e-02   1.13450804e-01   2.44653000e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  3.53437363e-06   7.90767983e-06   2.14917297e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.00023467  0.00982833  0.00201775 ...,  0.          0.          0.        ]
 [ 0.05679564  0.02065645  0.00325617 ...,  0.          0.          0.        ]
 [ 0.00474706  0.01184651  0.00102101 ...,  0.          0.          0.        ]
 ..., 
 [ 0.00064463  0.00043223  0.00073285 ...,  0.          0.          0.        ]
 [ 0.00112474  0.00311902  0.00320349 ...,  0.          0.          0.        ]
 [ 0.02121777  0.01053179  0.00102116 ...,  0.          0.          0.        ]]","[[ 0.          0.01034256  0.0063113  ...,  0.          0.          0.        ]]","[[ 0.23858614  0.22862156  0.23456758 ...,  0.          0.          0.        ]]","[[ 0.43144796  1.86828493  2.69399661 ...,  0.          0.          0.        ]]","[[ 0.05506884  0.12765957  0.35294118 ...,  0.          0.          0.        ]]",[ 4294.28911463],"[[ 2.69329053  2.95952792  1.90225264 ...,  0.          0.          0.        ]]","[[ 0.08456426  0.03405699  0.00303071 ...,  0.          0.          0.        ]]","[[ 0.0625  0.3125  0.77   ...,  0.      0.      0.    ]]"
03b10Ab,[ 1195.],"[[ 0.22263073  0.20402443  0.20736095 ...,  0.          0.          0.        ]]","[[ -4.09959020e+01  -4.10226954e+01  -4.10855746e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.99303382e+00   1.96553411e+00   1.85591729e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  6.49960894e-01   5.00529674e-01   7.73742624e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -2.89268442e-02  -6.00837603e-02   1.51053703e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -1.10415615e-01  -3.85855950e-02  -1.43787804e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.76163371e-02   5.52439901e-02  -5.13027935e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  4.95520528e-07   6.22376619e-07   6.62787097e-07 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  9.75970474e-05   3.65670248e-05   5.10768135e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.18231798e-02   1.48344599e-02   3.15177890e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.61710950e-03   8.62042557e-04   1.51277178e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  2.17222563e-04   1.48683622e-04   1.24812977e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  4.02444150e-03   4.45524541e-03   2.88872359e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  6.05979215e-03   1.88815541e-02   1.34885432e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.00582431  0.00181418 ...,  0.          0.          0.        ]]","[[ 0.28567529  0.28220167  0.27946186 ...,  0.          0.          0.        ]]","[[ 0.15414475  0.12299605  0.12484158 ...,  0.          0.          0.        ]]","[[ 0.04130163  0.00125156  0.01627034 ...,  0.          0.          0.        ]]",[ 2924.19339306],"[[ 2.72734366  2.88565627  3.00069101 ...,  0.          0.          0.        ]]","[[ 0.12274774  0.11184412  0.11799414 ...,  0.          0.          0.        ]]","[[ 0.0075  0.0025  0.0025 ...,  0.      0.      0.    ]]"
08a01Ab,[ 1035.],"[[ 0.18481822  0.23271509  0.41389928 ...,  0.          0.          0.        ]]","[[ -3.79568969e+01  -3.76805190e+01  -3.29781133e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.62743345e+00   1.57710950e+00   4.86507133e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  7.51388400e-01   1.00412978e+00   1.17229523e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  4.33671531e-01   2.05869586e-01  -1.96415531e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.53850484e-01   4.40666107e-01   1.50002686e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -7.76149874e-02   2.37095661e-01   9.76954346e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  1.53388658e-05   1.33075923e-05   1.93600124e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  1.98043118e-04   1.58382898e-04   2.22989442e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.15686679e-01   1.91036394e-01   2.47905962e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.17193700e-04   1.11970650e-04   3.84576034e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  8.23867054e-05   2.23236500e-04   2.36445322e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.56716510e-04   4.02903026e-04   3.71388719e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.70250286e-03   3.85358897e-02   1.42308069e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.02081862  0.03771338 ...,  0.          0.          0.        ]]","[[ 0.24533163  0.2740558   0.23224504 ...,  0.          0.          0.        ]]","[[ 0.09353091  0.19859271  2.69994863 ...,  0.          0.          0.        ]]","[[ 0.0175219   0.04130163  0.04380476 ...,  0.          0.          0.        ]]",[ 4667.94794315],"[[ 2.44557478  2.00960348  0.5944796  ...,  0.          0.          0.        ]]","[[ 0.1046143   0.06968986  0.00694498 ...,  0.          0.          0.        ]]","[[ 0.0075  0.0075  0.6125 ...,  0.      0.      0.    ]]"
08a02Ab,[ 1047.],"[[ 0.34043532  0.332963    0.32522772 ...,  0.          0.          0.        ]]","[[ -3.73343345e+01  -3.79350856e+01  -3.06972781e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.41074316e+00   1.12256725e+00   1.33856428e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  6.35937555e-01   5.98714604e-01   4.98798851e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -3.41798409e-02  -5.11927392e-02  -2.38668148e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.14078041e-01   3.23603561e-01   2.43857229e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  3.73219222e-02   1.48771451e-01  -7.96825099e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  2.74050276e-06   3.66260527e-06   4.88011419e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.00215946  0.00136649  0.00433695 ...,  0.          0.          0.        ]
 [ 0.01341038  0.0653454   0.02638052 ...,  0.          0.          0.        ]
 [ 0.00199593  0.00049462  0.00708467 ...,  0.          0.          0.        ]
 ..., 
 [ 0.00143458  0.0007218   0.00657431 ...,  0.          0.          0.        ]
 [ 0.00070128  0.0001482   0.00892749 ...,  0.          0.          0.        ]
 [ 0.05352741  0.07928545  0.02239318 ...,  0.          0.          0.        ]]","[[ 0.          0.00312504  0.01143639 ...,  0.          0.          0.        ]]","[[ 0.25621055  0.26106332  0.24144033 ...,  0.          0.          0.        ]]","[[ 1.28888393  0.95325321  2.18096054 ...,  0.          0.          0.        ]]","[[ 0.16770964  0.14142678  0.0212766  ...,  0.          0.          0.        ]]",[ 4625.15837567],"[[ 2.47809916  2.76432917  0.31854743 ...,  0.          0.          0.        ]]","[[ 0.05196083  0.03707879  0.00855289 ...,  0.          0.          0.        ]]","[[ 0.49    0.4725  0.4825 ...,  0.      0.      0.    ]]"
08a02Ac,[ 1233.],"[[ 0.15083445  0.295732    0.29906254 ...,  0.          0.          0.        ]]","[[ -3.95972717e+01  -3.85528944e+01  -3.74954565e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.35541107e+00   3.15474423e-01   6.96370846e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  8.29995879e-01   2.07940809e+00   1.25027153e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -8.65716547e-02  -8.13424869e-02   2.21051913e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.35937563e-01   2.25961536e-01   1.63282328e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.88835521e-01   2.38440227e-01   2.75196960e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  2.21396052e-06   4.15515856e-06   6.53820427e-06 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  3.12759197e-04   1.38591275e-04   1.64639576e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.91806428e-01   1.25494987e-01   4.19015687e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  8.91461069e-04   4.52178023e-04   3.92084179e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  1.69535188e-04   2.15983498e-04   3.28865218e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.07625149e-04   4.18250479e-04   9.72674560e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  7.77225256e-02   9.46090970e-02   2.79000239e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.01438772  0.02382657 ...,  0.          0.          0.        ]]","[[ 0.25246577  0.25573296  0.25960341 ...,  0.          0.          0.        ]]","[[ 0.06641946  0.60794254  0.55773338 ...,  0.          0.          0.        ]]","[[ 0.03379224  0.04505632  0.01877347 ...,  0.          0.          0.        ]]",[ 2629.28260178],"[[ 1.41349551  2.34617959  2.98259195 ...,  0.          0.          0.        ]]","[[ 0.05779553  0.04157075  0.10225948 ...,  0.          0.          0.        ]]","[[ 0.01   0.015  0.01  ...,  0.     0.     0.   ]]"
08b01Aa,[ 1286.],"[[ 0.25310825  0.17906924  0.2753028  ...,  0.          0.          0.        ]]","[[ -3.60689098e+01  -3.57427614e+01  -2.92488221e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.59339044e+00   1.55161546e+00   6.92031707e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  5.17712062e-01   4.78803587e-01   1.29103137e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -1.41966304e-02   2.20843160e-01   7.91782025e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  8.02711791e-02   3.61622627e-01   1.68758801e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.03449453e-01   2.17964758e-01  -1.13821115e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  1.05397959e-05   2.58753165e-05   1.18208987e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.00052163  0.000313    0.00739535 ...,  0.          0.          0.        ]
 [ 0.04208263  0.05625865  0.01677207 ...,  0.          0.          0.        ]
 [ 0.0006319   0.00042067  0.003409   ...,  0.          0.          0.        ]
 ..., 
 [ 0.00059578  0.00026887  0.00490898 ...,  0.          0.          0.        ]
 [ 0.00151461  0.00069333  0.00868192 ...,  0.          0.          0.        ]
 [ 0.03491464  0.04273583  0.02846668 ...,  0.          0.          0.        ]]","[[ 0.          0.00604156  0.03847873 ...,  0.          0.          0.        ]]","[[ 0.30556672  0.25698891  0.23064417 ...,  0.          0.          0.        ]]","[[ 0.28551567  0.1251766   2.03382703 ...,  0.          0.          0.        ]]","[[ 0.02252816  0.01627034  0.11639549 ...,  0.          0.          0.        ]]",[ 4295.56748288],"[[ 2.16122629  2.86272869  2.18052387 ...,  0.          0.          0.        ]]","[[ 0.08991316  0.0839697   0.01346108 ...,  0.          0.          0.        ]]","[[ 0.0125  0.0075  0.375  ...,  0.      0.      0.    ]]"
08b09Ab,[ 929.],"[[ 0.23524694  0.18868572  0.17916448 ...,  0.          0.          0.        ]]","[[-39.62208237 -39.61325644 -37.7645021  ...,   0.           0.           0.        ]
 [  0.86415291   1.27374365   0.81581819 ...,   0.           0.           0.        ]
 [  0.1298414    0.73639985   0.37175847 ...,   0.           0.           0.        ]
 ..., 
 [ -0.15263566   0.20607826  -0.04261418 ...,   0.           0.           0.        ]
 [  0.09876063   0.09343468   0.14703641 ...,   0.           0.           0.        ]
 [  0.23279915  -0.06449428   0.14737047 ...,   0.           0.           0.        ]]","[[  2.39896441e-06   5.68759293e-06   6.06444096e-06 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  1.59521332e-04   3.69165219e-05   9.23121515e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.78351278e-02   5.99395771e-03   5.61914877e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.77274338e-04   9.65829174e-05   2.03245435e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  6.60680708e-05   3.11461466e-05   1.04386717e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  3.15125633e-04   2.76836247e-04   1.42279056e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  4.82013870e-03   2.70241870e-02   9.25035486e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.01133603  0.03098221 ...,  0.          0.          0.        ]]","[[ 0.28440045  0.27695894  0.24460162 ...,  0.          0.          0.        ]]","[[ 0.14136351  0.06050728  0.13634326 ...,  0.          0.          0.        ]]","[[ 0.0175219   0.01251564  0.02002503 ...,  0.          0.          0.        ]]",[ 4038.76602442],"[[ 3.02441016  2.68655596  2.8101342  ...,  0.          0.          0.        ]]","[[ 0.12670242  0.11244044  0.04882172 ...,  0.          0.          0.        ]]","[[ 0.0025  0.0025  0.005  ...,  0.      0.      0.    ]]"
08b10Aa,[ 950.],"[[ 0.16186437  0.24616305  0.24673116 ...,  0.          0.          0.        ]]","[[-39.25539054 -37.72933298 -37.78070509 ...,   0.           0.           0.        ]
 [  1.75876074   1.92427245   1.96925705 ...,   0.           0.           0.        ]
 [  0.35336085   0.91839694   1.02931819 ...,   0.           0.           0.        ]
 ..., 
 [  0.20029262  -0.04571873  -0.06241381 ...,   0.           0.           0.        ]
 [  0.26628073   0.15638712   0.15006652 ...,   0.           0.           0.        ]
 [ -0.22182088   0.25703759   0.21433949 ...,   0.           0.           0.        ]]","[[  3.86283287e-06   7.74599173e-06   7.73767052e-06 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  1.68268738e-04   3.88890514e-04   1.32269682e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  8.13078730e-02   6.95290958e-02   1.76130532e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  3.67537986e-04   3.54076911e-04   6.40245180e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  2.03510458e-04   1.64935212e-04   4.90601846e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  7.23130040e-04   5.18421106e-04   6.72797416e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  6.53239110e-03   1.86029686e-02   4.67360003e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.01420104  0.00365777 ...,  0.          0.          0.        ]]","[[ 0.24865222  0.28260109  0.28353609 ...,  0.          0.          0.        ]]","[[ 0.07270767  0.21816878  0.21429891 ...,  0.          0.          0.        ]]","[[ 0.01877347  0.0387985   0.03128911 ...,  0.          0.          0.        ]]",[ 4518.30521324],"[[ 2.64248854  2.46993054  2.50547949 ...,  0.          0.          0.        ]]","[[ 0.1086769   0.10414763  0.09050736 ...,  0.          0.          0.        ]]","[[ 0.0075  0.01    0.0075 ...,  0.      0.      0.    ]]"
