,F0,spectralCentroid,MFCC,energy,chroma,spectralFlux,spectralSpread,spectralEntropy,ZCR,loudness,energyEntropy,chromaDeviation,spectralRolloff
03b10Ec,[ 982.],"[[ 0.26945877  0.27245113  0.28452287 ...,  0.          0.          0.        ]]","[[ -3.51567421e+01  -3.48181853e+01  -3.50386378e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.06669060e-01   3.75485883e-01   5.50071852e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -9.26392730e-02  -3.69986017e-02  -3.27371562e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -6.82334137e-02   8.45046114e-02  -1.83969391e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.19691216e-01   2.40257706e-01  -7.74372742e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.55430365e-01   3.14252774e-01  -2.65749203e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  8.19431967e-06   1.07433903e-05   7.04727218e-06 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.0004697   0.00051405  0.00062415 ...,  0.          0.          0.        ]
 [ 0.02598104  0.03788252  0.00347659 ...,  0.          0.          0.        ]
 [ 0.00049726  0.00022147  0.00134309 ...,  0.          0.          0.        ]
 ..., 
 [ 0.00079371  0.00037136  0.00090749 ...,  0.          0.          0.        ]
 [ 0.00092863  0.00191868  0.00133187 ...,  0.          0.          0.        ]
 [ 0.04124636  0.00376708  0.0852799  ...,  0.          0.          0.        ]]","[[ 0.          0.00538523  0.01189088 ...,  0.          0.          0.        ]]","[[ 0.24746836  0.2490597   0.25075347 ...,  0.          0.          0.        ]]","[[ 0.84758955  0.83473287  0.92765751 ...,  0.          0.          0.        ]]","[[ 0.08010013  0.05381727  0.12015019 ...,  0.          0.          0.        ]]",[ 4921.71829751],"[[ 3.02593501  3.11863102  2.97402408 ...,  0.          0.          0.        ]]","[[ 0.07677996  0.10436369  0.04767299 ...,  0.          0.          0.        ]]","[[ 0.1575  0.155   0.185  ...,  0.      0.      0.    ]]"
09a01Ea,[ 884.],"[[ 0.16088684  0.15434097  0.10437247 ...,  0.          0.          0.        ]]","[[ -3.86683679e+01  -3.61515235e+01  -3.32559707e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.21687308e+00   2.15820862e+00   4.03359612e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  7.09390515e-01   3.46347283e-01   5.50665985e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -6.20579837e-02   9.19907198e-02  -2.48411409e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  7.03085048e-02   6.35826463e-02  -3.62622652e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  3.67857927e-02   7.44666879e-02  -1.19744871e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  2.10301782e-05   2.08780442e-05   9.59254949e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  1.68232654e-05   9.16392165e-05   6.18952619e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.27355962e-03   3.34749725e-02   6.94484743e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  4.72621237e-05   3.44122566e-04   3.48382589e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  1.46470918e-05   7.64015442e-05   8.70412394e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.84141337e-05   4.93815971e-04   1.78318086e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.14770108e-01   1.36067198e-01   2.92604890e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.02679887  0.06507565 ...,  0.          0.          0.        ]]","[[ 0.2661147   0.25198023  0.18282383 ...,  0.          0.          0.        ]]","[[ 0.03020602  0.05550436  0.04981928 ...,  0.          0.          0.        ]]","[[ 0.00750939  0.01376721  0.02377972 ...,  0.          0.          0.        ]]",[ 3561.39003761],"[[ 2.5972652   2.64033822  2.24737366 ...,  0.          0.          0.        ]]","[[ 0.05049491  0.039074    0.03137439 ...,  0.          0.          0.        ]]","[[ 0.0025  0.005   0.0525 ...,  0.      0.      0.    ]]"
09a02Ea,[ 1314.],"[[ 0.29301789  0.32303817  0.41755131 ...,  0.          0.          0.        ]]","[[ -3.91637334e+01  -4.00183821e+01  -2.83000760e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.37197060e+00   9.21496542e-01   1.13751807e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  5.23064708e-01   3.97759785e-01  -1.01426377e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -3.46667731e-02  -1.09156124e-01   2.33829457e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -1.77933255e-01  -1.68645712e-01  -1.20045766e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -1.42131184e-01   1.05447130e-02   3.49614504e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  8.68347015e-07   7.84224848e-07   2.80644234e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  5.11219101e-04   3.31920360e-04   9.51236141e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.22069267e-01   2.39298453e-01   1.73630658e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.37721884e-03   4.39611582e-04   3.73560952e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  4.79074760e-04   1.78773371e-04   3.81943081e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.54758236e-03   2.23713260e-04   8.95627711e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  5.35984844e-02   1.34585175e-02   2.26745802e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.003482    0.02125223 ...,  0.          0.          0.        ]]","[[ 0.30959938  0.3170927   0.30709191 ...,  0.          0.          0.        ]]","[[ 0.43362755  0.46816147  2.69918427 ...,  0.          0.          0.        ]]","[[ 0.06633292  0.09762203  0.23904881 ...,  0.          0.          0.        ]]",[ 3307.23268005],"[[ 2.95628867  2.8619496   1.42637584 ...,  0.          0.          0.        ]]","[[ 0.06423758  0.0794188   0.00659716 ...,  0.          0.          0.        ]]","[[ 0.01    0.0075  0.87   ...,  0.      0.      0.    ]]"
09a02Eb,[ 866.],"[[ 0.14128122  0.36400817  0.34807935 ...,  0.          0.          0.        ]]","[[-40.50972499 -37.43637288 -30.91724321 ...,   0.           0.           0.        ]
 [  2.21959569  -0.10214818   0.64244504 ...,   0.           0.           0.        ]
 [  0.39267151   1.21421882  -0.50750455 ...,   0.           0.           0.        ]
 ..., 
 [  0.27022111   0.13843189  -0.19113274 ...,   0.           0.           0.        ]
 [  0.12562463   0.07971478   0.08081309 ...,   0.           0.           0.        ]
 [  0.142563    -0.04102911  -0.19005787 ...,   0.           0.           0.        ]]","[[  9.86349461e-07   1.90218467e-06   2.89164538e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  9.01761690e-05   8.98968694e-04   5.88550782e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  6.19152477e-02   6.76674118e-03   1.77835221e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.46170352e-04   1.62350051e-03   8.85752487e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  2.39712698e-04   5.34286303e-04   4.62976672e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  7.46761212e-04   7.94368862e-04   5.51563887e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.11662023e-01   1.01036938e-01   1.16462700e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.03518743  0.00842994 ...,  0.          0.          0.        ]]","[[ 0.2435364   0.25330084  0.27310931 ...,  0.          0.          0.        ]]","[[ 0.05877803  1.3761924   2.54325423 ...,  0.          0.          0.        ]]","[[ 0.01627034  0.03003755  0.14893617 ...,  0.          0.          0.        ]]",[ 3957.25435119],"[[ 2.21909454  2.72810051  0.86113381 ...,  0.          0.          0.        ]]","[[ 0.04331553  0.03196981  0.00364855 ...,  0.          0.          0.        ]]","[[ 0.0075  0.45    0.585  ...,  0.      0.      0.    ]]"
09a05Ed,[ 1113.],"[[ 0.21664794  0.26644653  0.24538866 ...,  0.          0.          0.        ]]","[[ -3.65129591e+01  -3.73408511e+01  -3.72571573e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.99248164e+00   1.77343413e+00   1.66620145e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  5.32676938e-01   8.06293335e-01   5.69091350e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  2.69752750e-01  -2.53979508e-01  -2.60414221e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.94197004e-01  -9.99598742e-02  -9.20123234e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.16788642e-01   6.84849123e-02  -2.62448182e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  9.31657877e-06   2.69628845e-06   4.21732597e-06 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  2.15340553e-04   4.66635302e-04   8.89427601e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.56622928e-02   1.47274148e-01   5.13255482e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  6.18591174e-04   3.95288241e-03   8.63506313e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  5.52925590e-04   3.88387851e-04   2.43603874e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.16577945e-03   5.10719937e-03   1.16287247e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  6.12315835e-02   4.66002645e-02   8.11123779e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.00885083  0.00678596 ...,  0.          0.          0.        ]]","[[ 0.28766245  0.30332931  0.29741388 ...,  0.          0.          0.        ]]","[[ 0.17224325  0.3922837   0.24773837 ...,  0.          0.          0.        ]]","[[ 0.05381727  0.08385482  0.03629537 ...,  0.          0.          0.        ]]",[ 3883.0664429],"[[ 2.7079839   2.90964686  3.10446441 ...,  0.          0.          0.        ]]","[[ 0.07378914  0.05497321  0.0544967  ...,  0.          0.          0.        ]]","[[ 0.01   0.025  0.01  ...,  0.     0.     0.   ]]"
09a07Eb,[ 1125.],"[[ 0.18726903  0.14513414  0.15796423 ...,  0.          0.          0.        ]]","[[ -3.89681692e+01  -3.94691153e+01  -3.76139545e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.68576726e+00   1.59158816e+00   2.15870089e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  4.22992257e-01   8.36770604e-01   5.12823252e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  5.79789034e-02   7.36180721e-02   7.92152990e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.48528923e-01   7.38139615e-03  -3.97187772e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  9.52688417e-02  -9.30001114e-02   5.52778046e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  6.94471440e-06   1.20847774e-05   8.86705237e-06 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  8.69871933e-06   6.55224989e-06   1.24737894e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.25013445e-01   4.38934017e-02   4.77283696e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.42483650e-04   4.88691210e-05   2.49207468e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  2.44875199e-04   3.60261500e-05   1.83661513e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.75216172e-04   2.96797191e-04   8.62246626e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.13641634e-02   1.18337852e-01   1.27146669e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.06499507  0.00960651 ...,  0.          0.          0.        ]]","[[ 0.2782875   0.25897963  0.25618147 ...,  0.          0.          0.        ]]","[[ 0.06885458  0.0282075   0.05590373 ...,  0.          0.          0.        ]]","[[ 0.0175219   0.01501877  0.01627034 ...,  0.          0.          0.        ]]",[ 4567.95337104],"[[ 2.45896755  2.93391003  2.78806677 ...,  0.          0.          0.        ]]","[[ 0.09589122  0.04099358  0.03884537 ...,  0.          0.          0.        ]]","[[ 0.005  0.005  0.005 ...,  0.     0.     0.   ]]"
09b01Ea,[ 1490.],"[[ 0.15447514  0.24127062  0.18044117 ...,  0.          0.          0.        ]]","[[-39.94840128 -38.54021421 -30.00043537 ...,   0.           0.           0.        ]
 [  1.7162826   -0.44808779   1.76881464 ...,   0.           0.           0.        ]
 [  0.58531282   0.86558407  -0.65782403 ...,   0.           0.           0.        ]
 ..., 
 [ -0.04008578  -0.19647979   0.17659696 ...,   0.           0.           0.        ]
 [  0.18732526  -0.28365512  -0.20364235 ...,   0.           0.           0.        ]
 [  0.29459581   0.51709601   0.20610953 ...,   0.           0.           0.        ]]","[[  3.78082625e-06   3.83214891e-06   8.35087017e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  2.15096205e-05   1.21504968e-04   6.05161629e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.15783501e-02   6.87584892e-03   3.81851347e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  6.18971986e-05   1.41552910e-04   1.34380773e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  4.38870879e-05   1.79818845e-04   1.68034117e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.54040837e-04   5.11074528e-04   1.48919409e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.51734936e-01   1.45154800e-01   2.21924892e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.02665276  0.04829447 ...,  0.          0.          0.        ]]","[[ 0.2565984   0.23421117  0.19083802 ...,  0.          0.          0.        ]]","[[ 0.03414914  0.38705234  1.08202906 ...,  0.          0.          0.        ]]","[[ 0.          0.01251564  0.05131414 ...,  0.          0.          0.        ]]",[ 3095.94234442],"[[ 2.88831177  2.95298314  1.5974938  ...,  0.          0.          0.        ]]","[[ 0.04161557  0.04013301  0.0089783  ...,  0.          0.          0.        ]]","[[ 0.0025  0.0025  0.185  ...,  0.      0.      0.    ]]"
09b03Ed,[ 982.],"[[ 0.26065923  0.25641186  0.21307261 ...,  0.          0.          0.        ]]","[[ -3.97010953e+01  -3.88385459e+01  -3.96551625e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.31107005e+00   1.63568048e+00   9.84092135e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  5.48538131e-01   3.77968159e-01   5.68688167e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  1.75589348e-01   5.44024123e-02  -6.57696669e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -1.42796617e-02   2.41343003e-01  -7.54047618e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.65331677e-01   1.74461004e-01  -7.50257032e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  1.60813532e-06   1.10313808e-06   4.53661408e-06 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  1.41939965e-04   2.22316415e-04   2.18372723e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.26499299e-02   6.62537780e-02   4.47157733e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.55568302e-04   1.39729876e-03   1.06843378e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  1.37503915e-04   3.40492778e-04   3.87045663e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  3.39317180e-04   7.32803165e-04   4.84924569e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.08328992e-01   9.59751892e-02   7.50830106e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.00758121  0.02729976 ...,  0.          0.          0.        ]]","[[ 0.30690008  0.30226839  0.29074832 ...,  0.          0.          0.        ]]","[[ 0.17689745  0.28566618  0.0804168  ...,  0.          0.          0.        ]]","[[ 0.05131414  0.06883605  0.03754693 ...,  0.          0.          0.        ]]",[ 3336.95444979],"[[ 2.87249181  2.85399392  2.33519938 ...,  0.          0.          0.        ]]","[[ 0.04639507  0.04154015  0.07413343 ...,  0.          0.          0.        ]]","[[ 0.0025  0.0075  0.0025 ...,  0.      0.      0.    ]]"
09b09Ea,[ 889.],"[[ 0.31493172  0.27943891  0.21238513 ...,  0.          0.          0.        ]]","[[ -3.82599353e+01  -3.77382423e+01  -3.73197247e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.26610324e+00   1.53733326e+00   1.88415908e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  4.89467312e-01   3.99695144e-01   5.65204954e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  9.21493611e-02   1.81085136e-01  -1.17196252e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  4.97658391e-02  -1.43783878e-02   2.41681196e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  6.89688790e-02  -8.54215072e-03   5.90082428e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  1.74526191e-06   1.74289406e-06   5.72593936e-06 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  2.25599487e-04   3.85067936e-04   7.18622404e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  3.91671754e-01   2.45489076e-01   5.92235036e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  8.65417527e-04   1.23079210e-03   5.77297277e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  5.22799184e-04   8.17550354e-04   3.61975325e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.94965875e-03   4.70599181e-03   1.67668113e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  6.80744078e-03   5.33489992e-02   1.36682924e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.00649773  0.02976235 ...,  0.          0.          0.        ]]","[[ 0.30588555  0.30373291  0.28717442 ...,  0.          0.          0.        ]]","[[ 0.47437623  0.44420732  0.12546084 ...,  0.          0.          0.        ]]","[[ 0.05757196  0.04881101  0.0212766  ...,  0.          0.          0.        ]]",[ 4294.20830887],"[[ 3.07020317  3.14149672  2.79666124 ...,  0.          0.          0.        ]]","[[ 0.10747126  0.06752078  0.04148153 ...,  0.          0.          0.        ]]","[[ 0.0125  0.02    0.0025 ...,  0.      0.      0.    ]]"
10b01Ea,[ 1436.],"[[ 0.39622372  0.35418499  0.32774231 ...,  0.          0.          0.        ]]","[[ -2.92500071e+01  -2.81574744e+01  -2.83298165e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.25176283e+00   1.57124479e+00   1.84470380e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -4.28047171e-02   3.68374722e-01   4.24141709e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  1.66227678e-01  -1.56706096e-01  -3.10964845e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  5.54675603e-01   6.80376046e-01   4.25800877e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -2.80303539e-03   8.93653333e-02   7.34797175e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.00015514  0.00035483  0.00045591 ...,  0.          0.          0.        ]]","[[ 0.00453445  0.00099821  0.0114097  ...,  0.          0.          0.        ]
 [ 0.01040815  0.00867988  0.00620353 ...,  0.          0.          0.        ]
 [ 0.00946593  0.005241    0.00336157 ...,  0.          0.          0.        ]
 ..., 
 [ 0.00364546  0.00255757  0.00319084 ...,  0.          0.          0.        ]
 [ 0.01198566  0.01442266  0.00908374 ...,  0.          0.          0.        ]
 [ 0.00973893  0.00639522  0.01165237 ...,  0.          0.          0.        ]]","[[ 0.          0.0024742   0.00314088 ...,  0.          0.          0.        ]]","[[ 0.30648784  0.28851229  0.27025756 ...,  0.          0.          0.        ]]","[[ 2.54337086  2.14845139  1.83982757 ...,  0.          0.          0.        ]]","[[ 0.3028786   0.28660826  0.24405507 ...,  0.          0.          0.        ]]",[ 3801.01670609],"[[ 2.98854873  3.19123528  3.2475605  ...,  0.          0.          0.        ]]","[[ 0.01056667  0.01356449  0.01789607 ...,  0.          0.          0.        ]]","[[ 0.7975  0.6     0.43   ...,  0.      0.      0.    ]]"
