,F0,spectralCentroid,MFCC,energy,chroma,spectralFlux,spectralSpread,spectralEntropy,ZCR,loudness,energyEntropy,chromaDeviation,spectralRolloff
03a01Fa,[ 1013.],"[[ 0.24872138  0.26234115  0.24148083 ...,  0.          0.          0.        ]]","[[ -3.93402792e+01  -3.92927220e+01  -3.90453277e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.42257103e+00   1.81787896e+00   1.69125308e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  7.38569091e-01   4.88761036e-01   5.98651296e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -2.72521791e-02  -9.20310876e-02  -3.30001692e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.38637758e-01  -9.44585092e-02   4.50947609e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.16151655e-01  -6.12141091e-02  -2.68610564e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  1.90116530e-06   2.41301803e-06   2.56348474e-06 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  9.06551695e-05   1.19521265e-04   1.11788899e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  4.34982555e-02   4.57335240e-03   1.97149258e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  3.34254970e-04   2.56460783e-04   8.90282103e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  1.92949511e-04   1.48583781e-04   1.31730784e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.12095646e-03   7.53673488e-04   1.31016172e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  8.12474185e-02   5.12575273e-03   3.42583897e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.02570665  0.02753435 ...,  0.          0.          0.        ]]","[[ 0.29074264  0.30480653  0.29284055 ...,  0.          0.          0.        ]]","[[ 0.21636678  0.1668126   0.18863745 ...,  0.          0.          0.        ]]","[[ 0.02002503  0.03379224  0.02628285 ...,  0.          0.          0.        ]]",[ 2697.38447389],"[[ 3.0440479  2.874599   2.8741123 ...,  0.         0.         0.       ]]","[[ 0.05650927  0.12754115  0.07100819 ...,  0.          0.          0.        ]]","[[ 0.0075  0.0025  0.005  ...,  0.      0.      0.    ]]"
03a02Fc,[ 1086.],"[[ 0.1956524   0.15920542  0.28879725 ...,  0.          0.          0.        ]]","[[-34.53687067 -35.42393186 -29.39720086 ...,   0.           0.           0.        ]
 [  1.93292616   2.53021575   2.10965433 ...,   0.           0.           0.        ]
 [  1.10314781   1.01001025   0.93108989 ...,   0.           0.           0.        ]
 ..., 
 [ -0.05008102  -0.18060354  -0.18072833 ...,   0.           0.           0.        ]
 [ -0.09884238   0.04771815  -0.15934689 ...,   0.           0.           0.        ]
 [  0.22530975   0.34606624   0.09763348 ...,   0.           0.           0.        ]]","[[  1.06886246e-05   7.74923934e-06   1.63627550e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.00392175  0.00069875  0.00209016 ...,  0.          0.          0.        ]
 [ 0.08167845  0.15728498  0.04122318 ...,  0.          0.          0.        ]
 [ 0.00851636  0.00774614  0.02385068 ...,  0.          0.          0.        ]
 ..., 
 [ 0.00373612  0.00333429  0.01591529 ...,  0.          0.          0.        ]
 [ 0.00476473  0.00515048  0.01783042 ...,  0.          0.          0.        ]
 [ 0.03854708  0.03111246  0.02603726 ...,  0.          0.          0.        ]]","[[ 0.          0.00371846  0.01410856 ...,  0.          0.          0.        ]]","[[ 0.22156224  0.22144546  0.2650952  ...,  0.          0.          0.        ]]","[[ 0.66508125  0.26041913  1.28548057 ...,  0.          0.          0.        ]]","[[ 0.08510638  0.09887359  0.13767209 ...,  0.          0.          0.        ]]",[ 4079.0562634],"[[ 2.35390258  1.42715908  0.85507565 ...,  0.          0.          0.        ]]","[[ 0.05893332  0.05804155  0.0109918  ...,  0.          0.          0.        ]]","[[ 0.11    0.0375  0.4225 ...,  0.      0.      0.    ]]"
03a04Fd,[ 1177.],"[[ 0.22838841  0.24269608  0.3227631  ...,  0.          0.          0.        ]]","[[ -4.14024346e+01  -3.79021160e+01  -3.24005396e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.49339554e+00   3.57531733e-01  -7.11834267e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  5.47710345e-01  -8.04886480e-01  -1.00270791e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -3.36791272e-02   3.01812401e-01   5.18204280e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  3.74255575e-02   7.24041661e-02  -2.88184876e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -4.78448698e-03  -1.76854581e-01   2.02072702e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  4.02486838e-07   5.67686996e-07   1.98091703e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.00011666  0.00134809  0.00838986 ...,  0.          0.          0.        ]
 [ 0.03339169  0.00824347  0.00632084 ...,  0.          0.          0.        ]
 [ 0.00076007  0.0004797   0.00428472 ...,  0.          0.          0.        ]
 ..., 
 [ 0.00011755  0.00198827  0.00201817 ...,  0.          0.          0.        ]
 [ 0.00086812  0.00473105  0.00444235 ...,  0.          0.          0.        ]
 [ 0.07218599  0.0878732   0.02055007 ...,  0.          0.          0.        ]]","[[ 0.          0.01814483  0.00817185 ...,  0.          0.          0.        ]]","[[ 0.28425598  0.24409697  0.22878482 ...,  0.          0.          0.        ]]","[[ 0.19325756  1.07088021  2.46063578 ...,  0.          0.          0.        ]]","[[ 0.08260325  0.0951189   0.15519399 ...,  0.          0.          0.        ]]",[ 3927.66164531],"[[ 2.5561473   2.52202533  1.83876499 ...,  0.          0.          0.        ]]","[[ 0.07864151  0.05356289  0.00609    ...,  0.          0.          0.        ]]","[[ 0.01    0.165   0.4675 ...,  0.      0.      0.    ]]"
03a05Fc,[ 1176.],"[[ 0.44185646  0.41081369  0.17619301 ...,  0.          0.          0.        ]]","[[ -3.40690016e+01  -3.50464638e+01  -3.70954790e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.42872041e+00   1.22634282e+00   2.29389338e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.84484634e+00   1.99516921e+00   8.21749556e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -5.64290664e-01  -2.08931360e-02  -1.36546318e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -1.20958553e-01   2.71123233e-01  -6.57850085e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  6.30791272e-04  -4.59010946e-02  -8.02108244e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  4.94156361e-05   4.86089835e-05   1.01312661e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  4.08245147e-03   4.28446649e-03   7.19404928e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  8.01024545e-03   4.02987042e-02   1.32973511e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.04934123e-03   1.03830870e-03   1.68220068e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  7.03868408e-04   5.53819389e-04   1.49709898e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.51243082e-03   1.51960926e-03   2.32991567e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.07445252e-02   7.05090115e-03   6.35723228e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.00184667  0.03387922 ...,  0.          0.          0.        ]]","[[ 0.24348431  0.20371826  0.26073835 ...,  0.          0.          0.        ]]","[[ 1.77780112  1.51863851  0.1186756  ...,  0.          0.          0.        ]]","[[ 0.08886108  0.08385482  0.03003755 ...,  0.          0.          0.        ]]",[ 3862.13969193],"[[ 1.34801888  1.32188098  2.92167037 ...,  0.          0.          0.        ]]","[[ 0.00839947  0.01621955  0.05909907 ...,  0.          0.          0.        ]]","[[ 0.5125  0.505   0.01   ...,  0.      0.      0.    ]]"
03a07Fa,[ 1255.],"[[ 0.19987158  0.22786705  0.2764888  ...,  0.          0.          0.        ]]","[[-36.2933649  -36.88978214 -30.99327158 ...,   0.           0.           0.        ]
 [  1.92324669   1.8858184    2.02258954 ...,   0.           0.           0.        ]
 [  0.6808296    0.36534364   1.11705122 ...,   0.           0.           0.        ]
 ..., 
 [  0.19218277   0.1109157    0.43287483 ...,   0.           0.           0.        ]
 [ -0.0759188   -0.0784968   -0.18763471 ...,   0.           0.           0.        ]
 [ -0.34316685  -0.32415281   0.13125489 ...,   0.           0.           0.        ]]","[[  3.20773477e-06   7.23852638e-06   8.91672038e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.00108877  0.00043707  0.01502404 ...,  0.          0.          0.        ]
 [ 0.01022323  0.13293557  0.01272826 ...,  0.          0.          0.        ]
 [ 0.00305041  0.000981    0.00469274 ...,  0.          0.          0.        ]
 ..., 
 [ 0.00046264  0.00017903  0.01060434 ...,  0.          0.          0.        ]
 [ 0.00769171  0.00153544  0.03381897 ...,  0.          0.          0.        ]
 [ 0.07320773  0.07517024  0.02467971 ...,  0.          0.          0.        ]]","[[ 0.          0.00963283  0.02794391 ...,  0.          0.          0.        ]]","[[ 0.24821454  0.28912048  0.27436195 ...,  0.          0.          0.        ]]","[[ 0.35260289  0.20348687  0.97229929 ...,  0.          0.          0.        ]]","[[ 0.09887359  0.03629537  0.077597   ...,  0.          0.          0.        ]]",[ 4554.17742298],"[[ 2.88039839  3.00627526  1.8530421  ...,  0.          0.          0.        ]]","[[ 0.05895496  0.04836729  0.01429791 ...,  0.          0.          0.        ]]","[[ 0.035   0.0075  0.325  ...,  0.      0.      0.    ]]"
03a07Fb,[ 1288.],"[[ 0.177955   0.2578372  0.1728234 ...,  0.         0.         0.       ]]","[[ -3.82098710e+01  -3.51574134e+01  -2.58279455e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.86660281e+00   9.52651725e-01   2.93956106e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  7.01808309e-01  -5.35041289e-03   6.54419596e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -4.05206052e-02   5.10784345e-01   3.13546728e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -1.26985583e-01  -4.53672186e-02  -3.58255304e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -1.56343164e-01  -3.20790055e-01  -2.65695354e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  3.56426140e-06   5.72645194e-06   4.87224210e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  1.19070700e-04   9.57702178e-03   3.80891119e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  6.46937938e-02   2.18873717e-02   3.85384528e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  6.17585421e-04   1.00889799e-02   2.11131935e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  9.16895826e-05   1.14505211e-03   7.53315325e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.72229652e-03   1.59760608e-03   7.11976918e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.20992302e-01   1.21068793e-02   1.50504434e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.04641822  0.0116542  ...,  0.          0.          0.        ]]","[[ 0.2571273   0.24521784  0.21393361 ...,  0.          0.          0.        ]]","[[ 0.0978135   0.89446574  0.3193327  ...,  0.          0.          0.        ]]","[[ 0.02878598  0.03379224  0.12140175 ...,  0.          0.          0.        ]]",[ 4174.62393516],"[[ 2.76913881  2.84847091  0.96946227 ...,  0.          0.          0.        ]]","[[ 0.03752269  0.06465632  0.0142277  ...,  0.          0.          0.        ]]","[[ 0.005   0.2875  0.0625 ...,  0.      0.      0.    ]]"
03b01Fa,[ 1176.],"[[ 0.18218492  0.23172382  0.31539409 ...,  0.          0.          0.        ]]","[[-33.92863495 -34.3700949  -29.96675634 ...,   0.           0.           0.        ]
 [  1.10620878   1.3712814    0.34233475 ...,   0.           0.           0.        ]
 [  0.4161042    0.67215586  -0.15274287 ...,   0.           0.           0.        ]
 ..., 
 [ -0.09304765   0.1749746    0.63138946 ...,   0.           0.           0.        ]
 [ -0.05534402   0.08523193  -0.13312644 ...,   0.           0.           0.        ]
 [  0.26870156   0.19919384   0.18968817 ...,   0.           0.           0.        ]]","[[  3.23125097e-05   3.23269870e-05   1.20819290e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.00108983  0.0009438   0.00137572 ...,  0.          0.          0.        ]
 [ 0.00716673  0.02836893  0.01023826 ...,  0.          0.          0.        ]
 [ 0.0011416   0.0003327   0.00187181 ...,  0.          0.          0.        ]
 ..., 
 [ 0.00025253  0.00026301  0.00712339 ...,  0.          0.          0.        ]
 [ 0.00136658  0.00123457  0.00637758 ...,  0.          0.          0.        ]
 [ 0.0149165   0.01680802  0.01800765 ...,  0.          0.          0.        ]]","[[ 0.          0.00242458  0.01928114 ...,  0.          0.          0.        ]]","[[ 0.21140351  0.26825376  0.24305519 ...,  0.          0.          0.        ]]","[[ 0.40202088  0.30815764  2.22424121 ...,  0.          0.          0.        ]]","[[ 0.03003755  0.01877347  0.16020025 ...,  0.          0.          0.        ]]",[ 5472.55890786],"[[ 2.88222022  2.78511361  1.86619493 ...,  0.          0.          0.        ]]","[[ 0.11312086  0.10800878  0.02818375 ...,  0.          0.          0.        ]]","[[ 0.0125  0.01    0.4175 ...,  0.      0.      0.    ]]"
08a01Fd,[ 804.],"[[ 0.14869722  0.0868521   0.145537   ...,  0.          0.          0.        ]]","[[ -3.67537256e+01  -3.72870646e+01  -3.39908753e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.17314449e+00   2.02913431e+00   2.35451643e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  4.14660126e-01   5.07620074e-01   3.15571645e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -5.19674139e-03   1.23647580e-01   8.14265492e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.58490625e-01   1.04816599e-01   4.28411273e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.11055227e-01  -1.43500839e-02  -5.33588881e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  2.26706216e-05   8.85591883e-05   1.52793471e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  5.38502802e-05   1.02687081e-05   1.07288639e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  5.21698665e-03   1.20195131e-02   7.97883901e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  3.72264791e-04   6.28791615e-05   6.20662739e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  1.12478670e-04   6.68947576e-06   1.91742089e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.18673895e-03   1.07953286e-04   8.97634446e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  7.44019995e-02   1.07871484e-01   1.70511006e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.03138318  0.09187026 ...,  0.          0.          0.        ]]","[[ 0.2492949   0.20203887  0.23876946 ...,  0.          0.          0.        ]]","[[ 0.05303109  0.0103236   0.04538756 ...,  0.          0.          0.        ]]","[[ 0.00750939  0.00750939  0.00125156 ...,  0.          0.          0.        ]]",[ 6636.45967365],"[[ 2.86936296  2.61036182  3.10641028 ...,  0.          0.          0.        ]]","[[ 0.08689021  0.05731069  0.12516433 ...,  0.          0.          0.        ]]","[[ 0.01    0.0025  0.005  ...,  0.      0.      0.    ]]"
08a02Fe,[ 779.],"[[ 0.14601249  0.24127028  0.30383539 ...,  0.          0.          0.        ]]","[[-35.95933567 -35.16953389 -28.35138385 ...,   0.           0.           0.        ]
 [  2.49458647   2.41252605   2.42979882 ...,   0.           0.           0.        ]
 [  0.47427259   0.50817336   1.23533709 ...,   0.           0.           0.        ]
 ..., 
 [ -0.31666915   0.06489806  -0.16352457 ...,   0.           0.           0.        ]
 [  0.09857454   0.13998142   0.11225685 ...,   0.           0.           0.        ]
 [  0.25273774   0.11111281  -0.23831284 ...,   0.           0.           0.        ]]","[[  2.03738189e-05   2.22843636e-05   4.40499920e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  6.12187216e-05   1.50464238e-04   5.79819049e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.11961015e-02   2.05792073e-02   2.74473021e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.06196456e-03   1.47961356e-03   2.28764012e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  2.60870958e-04   3.17540303e-04   8.32904621e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.12144066e-03   1.15896253e-03   1.13152725e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  5.71626025e-02   1.40567708e-01   2.86221103e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.01784643  0.02749384 ...,  0.          0.          0.        ]]","[[ 0.23652909  0.28767031  0.28264217 ...,  0.          0.          0.        ]]","[[ 0.07700957  0.21495484  1.24769506 ...,  0.          0.          0.        ]]","[[ 0.01877347  0.01877347  0.10262829 ...,  0.          0.          0.        ]]",[ 5040.09444356],"[[ 2.73145126  2.97702088  1.28237463 ...,  0.          0.          0.        ]]","[[ 0.08435096  0.04127657  0.01053346 ...,  0.          0.          0.        ]]","[[ 0.01    0.0125  0.4225 ...,  0.      0.      0.    ]]"
08a04Ff,[ 753.],"[[ 0.21779636  0.23614029  0.20725583 ...,  0.          0.          0.        ]]","[[ -3.78756613e+01  -3.85747928e+01  -4.02849426e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.12157961e+00   1.89173057e+00   1.69095111e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  8.43077884e-01   9.90025544e-01   9.78430631e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  4.46318285e-02   2.44069723e-01   3.22959389e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.90317797e-01   3.39455574e-01   1.79291246e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  6.52317914e-02   1.06291750e-01   1.36355714e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  8.56468523e-06   6.25898769e-06   2.05079449e-06 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  6.65052435e-05   3.36912761e-05   4.12979116e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.81074375e-02   2.44902383e-02   9.01295150e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  5.88694479e-04   2.23529964e-04   4.32844986e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  8.36785156e-05   1.09882123e-04   9.73622598e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  6.15447806e-04   2.18414490e-04   3.16044045e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.05104352e-01   1.95450521e-01   2.59304724e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.00523266  0.01592598 ...,  0.          0.          0.        ]]","[[ 0.28223333  0.29289622  0.2884314  ...,  0.          0.          0.        ]]","[[ 0.11316422  0.15565073  0.0971408  ...,  0.          0.          0.        ]]","[[ 0.02628285  0.04255319  0.04005006 ...,  0.          0.          0.        ]]",[ 3594.11727688],"[[ 2.95299589  2.64727088  3.10912782 ...,  0.          0.          0.        ]]","[[ 0.05609999  0.05586399  0.07250548 ...,  0.          0.          0.        ]]","[[ 0.01  0.01  0.01 ...,  0.    0.    0.  ]]"
